learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
base,0.675,0.25,0.16875,0.25,0.03,24.46143967310532,710,5,0,0.011435746367560232,-40.61720891623869
base,0.675,0.25,0.16875,0.25,0.04,24.46143967310532,710,5,0,0.015247661823413642,-40.61656849027951
base,0.675,0.25,0.16875,0.25,0.05,24.46143967310532,710,5,0,0.019059577279267055,-40.615928064320336
base,0.675,0.25,0.16875,0.25,0.06,24.46143967310532,710,5,0,0.022871492735120465,-40.61528763836116
base,0.675,0.25,0.16875,0.25,0.07,24.46143967310532,710,5,0,0.02668340819097388,-40.614647212401984
base,0.675,0.25,0.16875,0.25,0.08,24.46143967310532,710,5,0,0.030495323646827284,-40.61400678644281
base,0.675,0.25,0.16875,0.25,0.09,24.46143967310532,710,5,0,0.0343072391026807,-40.613366360483624
base,0.675,0.25,0.16875,0.25,0.1,24.46143967310532,710,5,0,0.03811915455853411,-40.61272593452445
base,0.675,0.25,0.16875,0.25,0.11,24.46143967310532,710,6,0,0.04193107001438752,-40.61208550856527
base,0.675,0.25,0.16875,0.25,0.12,24.46143967310532,710,6,0,0.04574298547024093,-40.611445082606096
base,0.675,0.25,0.16875,0.25,0.13,24.46143967310532,710,6,0,0.04955490092609433,-40.61080465664692
base,0.675,0.25,0.16875,0.25,0.14,24.46143967310532,710,6,0,0.05336681638194776,-40.610164230687744
base,0.675,0.25,0.16875,0.25,0.15,24.46143967310532,710,6,0,0.05717873183780116,-40.60952380472857
base,0.675,0.25,0.16875,0.25,0.16,24.46143967310532,710,6,0,0.06099064729365457,-40.60888337876939
base,0.675,0.25,0.16875,0.25,0.17,24.46143967310532,710,7,0,0.06480256274950799,-40.60824295281021
base,0.675,0.25,0.16875,0.25,0.18,24.46143967310532,710,7,0,0.0686144782053614,-40.60760252685103
base,0.675,0.25,0.16875,0.25,0.19,24.46143967310532,710,7,0,0.07242639366121481,-40.606962100891856
base,0.675,0.25,0.16875,0.25,0.2,24.46143967310532,710,7,0,0.07623830911706822,-40.60632167493268
base,0.675,0.25,0.16875,0.25,0.21,24.46143967310532,710,7,0,0.08005022457292162,-40.605681248973504
base,0.675,0.25,0.16875,0.25,0.22,24.46143967310532,710,7,0,0.08386214002877504,-40.60504082301433
base,0.675,0.25,0.16875,0.25,0.23,24.46143967310532,710,7,0,0.08767405548462845,-40.60440039705515
base,0.675,0.25,0.16875,0.25,0.24,24.46143967310532,710,7,0,0.09148597094048186,-40.603759971095975
base,0.675,0.25,0.16875,0.25,0.25,24.46143967310532,710,7,0,0.09529788639633527,-40.60311954513679
base,0.675,0.25,0.16875,0.25,0.26,24.46143967310532,710,7,0,0.09910980185218866,-40.60247911917762
base,0.675,0.25,0.16875,0.25,0.27,24.46143967310532,710,7,0,0.1029217173080421,-40.60183869321844
base,0.675,0.25,0.16875,0.25,0.28,24.46143967310532,710,7,0,0.10673363276389553,-40.601198267259264
base,0.675,0.25,0.16875,0.25,0.29,24.46143967310532,710,7,0,0.11054554821974891,-40.600557841300095
base,0.675,0.25,0.16875,0.25,0.3,24.46143967310532,710,7,0,0.11435746367560232,-40.59991741534091
base,0.675,0.25,0.16875,0.25,0.31,24.46143967310532,710,7,0,0.11816937913145573,-40.599276989381735
base,0.675,0.25,0.16875,0.25,0.32,24.46143967310532,710,7,0,0.12198129458730914,-40.59863656342256
base,0.675,0.25,0.16875,0.25,0.33,24.46143967310532,710,8,0,0.12579321004316255,-40.59799613746338
base,0.675,0.25,0.16875,0.25,0.34,24.46143967310532,710,8,0,0.12960512549901598,-40.5973557115042
base,0.675,0.25,0.16875,0.25,0.35,24.46143967310532,710,8,0,0.13341704095486936,-40.596715285545024
base,0.675,0.25,0.16875,0.25,0.36,24.46143967310532,710,8,0,0.1372289564107228,-40.596074859585855
base,0.675,0.25,0.16875,0.25,0.37,24.46143967310532,710,8,0,0.14104087186657618,-40.59543443362668
base,0.675,0.25,0.16875,0.25,0.38,24.46143967310532,710,8,0,0.14485278732242962,-40.594794007667495
