ObjectId,power_type_cn,province_cn,merge_province_cn,capacity_mw,status,start_year,project_name,latitude,longitude,wind_utilization_2025,solar_utilization_2025,potential_mwh_2020_weather_replay,curtailed_mwh_2025_calibrated,delivered_mwh_2025_calibrated,curtailment_rate_2025_calibrated,curtailed_positive_hours_2025_calibrated,curtailed_h2_potential_t_55kwh
10166,光伏,江西,江西,16.0,operating,2017.0,Linguang solar project,27.3855,115.8368,0.996,0.989,18138.14655959058,199.51920559991152,17938.627353990665,0.01099997758560482,717,3.6276219199983912
10167,光伏,浙江,浙江,9.1,operating,2017.0,Linhai Jingneng Photovoltaic Power I solar project,28.85,121.1167,0.995,1.0,9748.983020123123,0.0,9748.983020123123,0.0,0,0.0
1017,光伏,广西,广西,60.0,operating,2022.0,Guangxi Binyang Suguantang Fishery solar farm,23.2725,109.1798,0.962,0.965,67389.05442756366,2358.6186684234144,65030.43575914025,0.03500002616832512,1058,42.883975789516626
10171,光伏,吉林,吉林,12.0,operating,2016.0,Linhai solar project,43.729,126.1997,0.918,0.966,13200.992752640963,448.8334830764532,12752.159269564509,0.033999979508106355,1034,8.16060878320824
10173,光伏,陕西,陕西,19.5,operating,2016.0,Linsheng Silian Photovoltaic solar project,38.2769,109.7155,0.953,0.91,30937.163716937303,2784.3439251132013,28152.819791824102,0.08999997383693077,1493,50.624435002058206
10174,光伏,山东,山东,3.2,operating,2019.0,Linshu Aotai solar project,34.9137,118.6343,0.957,0.969,3900.2744100155533,120.90857747250796,3779.365832543045,0.03100001814283262,1018,2.198337772227417
10175,光伏,甘肃,甘肃,18.0,operating,2017.0,Lintao County Dongju Solar Technology Lintao poverty alleviation solar project,35.4466,103.9799,0.937,0.896,25306.38818698132,2631.8636696903704,22674.52451729095,0.10399997226962293,1599,47.852066721643105
10176,光伏,山东,山东,4.9,operating,2017.0,Linyi Chending New Energy Technology I solar project,35.1032,118.3507,0.957,0.969,5962.522568065941,184.83830782256555,5777.684260243376,0.031000018148781852,1015,3.360696505864828
10180,光伏,山东,山东,7.0,operating,2017.0,Linyi Dongsong Energy Technology Linyi Boshang solar project,37.1767,116.8508,0.957,0.969,9444.787858153046,292.7885948619843,9151.999263291062,0.031000018132671947,1056,5.323428997490622
10186,光伏,山东,山东,1.1,operating,2016.0,Linyi I solar project,35.1032,118.3507,0.957,0.969,1338.5254813210572,41.49431414139876,1297.0311671796585,0.031000018094871053,1015,0.7544420752981593
10188,光伏,山东,山东,2.0,operating,2018.0,Linyi Jingyun Photovoltaic New Energy solar project,35.1032,118.3507,0.957,0.969,2433.682692425072,75.44420747685665,2358.2384849482155,0.031000018084395124,1015,1.3717128632155755
10189,光伏,山东,山东,1.0,operating,2010.0,Linyi Juhuang New Energy Technology Development solar project,35.5178,117.6097,0.957,0.969,1246.9031630737932,38.65402063959837,1208.2491424341947,0.03100001811232135,1039,0.7028003752654249
10190,光伏,山东,山东,6.0,operating,2019.0,Linyi Kangyao Photovoltaic Technology solar project,35.1032,118.3507,0.957,0.969,7301.048079229966,226.33262238254213,7074.715456847423,0.031000018069517108,1015,4.115138588773493
102,光伏,甘肃,甘肃,100.0,operating,2022.0,Gansu Province Liangzhou CECEP Grid-Connected solar farm,38.096,102.838,0.937,0.896,149233.02897496914,15520.230895154953,133712.7980798142,0.10399997240395195,1559,282.1860162755446
1020,光伏,广西,广西,160.0,operating,2022.0,Guangxi Chongzuo Jiangzhou Banchong solar project,22.3233,107.3895,0.962,0.965,177563.07168376207,6214.7121654782295,171348.35951828383,0.03500002622474658,1055,112.99476664505872
10203,光伏,山东,山东,5.5,operating,2016.0,Linyi Xinlan Electric Power Shandong Dezhou Jinde solar project,37.1767,116.8508,0.957,0.969,7420.904718670756,230.04818101972342,7190.856537651032,0.031000018156941114,1056,4.182694200358608
10207,光伏,甘肃,甘肃,6.0,operating,2016.0,Linze County Industrial West Zone solar project,39.3473,100.188,0.937,0.896,8883.842616246104,923.9193853077888,7959.923230938315,0.10399997222127669,1613,16.798534278323434
10209,光伏,冀南,河北,4.0,operating,2019.0,Linzhang County Shengtian Photovoltaic Energy Technology solar project,36.2634,114.5417,0.92,0.943,5336.085859709039,304.1567947424948,5031.9290649665445,0.056999981398177794,1338,5.5301235407726335
1021,光伏,广西,广西,70.0,operating,2022.0,Guangxi Chongzuo Jiangzhou Liuliu solar project,22.2931,107.437,0.962,0.965,79295.68962982703,2775.351217792511,76520.33841203451,0.03500002624037416,1056,50.46093123259111
10210,光伏,河南,河南,9.0,operating,2017.0,Linzhou Weirui New Energy Technology solar project,36.0674,113.8105,0.953,0.984,12482.46551140213,199.71910871058702,12282.746402691542,0.015999972804102945,810,3.631256522010673
10211,光伏,陕西,陕西,15.0,operating,2017.0,Liqian B solar project,37.577,107.769,0.953,0.91,21744.03568792105,1956.9626402521133,19787.073047668935,0.0899999737095363,1460,35.58113891367479
10213,光伏,吉林,吉林,2.8,operating,2017.0,Lishu County Fuyuan New Energy I solar project,43.4873,124.3329,0.918,0.966,3150.7527859577535,107.12553024311363,3043.62725571464,0.033999979535224004,1121,1.947736913511157
10216,光伏,浙江,浙江,1.5,operating,2016.0,Lishui Effesheng Solar Power I solar project,28.4704,119.9184,0.995,1.0,1572.807282854207,0.0,1572.807282854207,0.0,0,0.0
1022,光伏,广西,广西,100.0,operating,2023.0,Guangxi Chongzuo Jiangzhou Qumu solar project,22.3178,107.5838,0.962,0.965,112275.84330860781,3929.657459858239,108346.18584874958,0.03500002622164197,1063,71.44831745196798
10221,光伏,浙江,浙江,2.2,operating,2017.0,Lishui Qingmei Solar Technology I solar project,28.4704,119.9184,0.995,1.0,2306.7840152091235,0.0,2306.7840152091235,0.0,0,0.0
10226,光伏,浙江,浙江,2.3,operating,2019.0,Lishui Yaxinbao New Energy solar project,28.4704,119.9184,0.995,1.0,2411.6378235580473,0.0,2411.6378235580473,0.0,0,0.0
10227,光伏,西藏,西藏,15.0,operating,2016.0,Litaikangma County solar project,28.5592,89.6797,0.686,0.649,32538.6545784384,11421.068077690721,21117.586500747682,0.351000009854705,2485,207.65578323074038
10228,光伏,江苏,江苏,17.5,operating,2020.0,Liuhezhen A solar project,31.507,121.329,0.983,0.994,20408.495829963715,122.45061510528625,20286.045214858426,0.005999982366437045,559,2.2263748200961135
10229,光伏,湖南,湖南,1.0,operating,2017.0,Liuyang Huiyuan Industrial solar project,28.2179,113.7002,0.934,0.98,1043.3521325566173,20.867022765095346,1022.485109791522,0.019999980940244067,914,0.37940041391082446
1023,光伏,广西,广西,30.0,operating,2019.0,Guangxi Chongzuo Longzhou Baiyi solar farm,22.327,106.915,0.962,0.965,31524.677807762386,1103.3645479609966,30421.313259801387,0.03500002616011869,1073,20.061173599290846
10233,光伏,江苏,江苏,5.7,operating,2019.0,Liyang Tunan New Energy Technology solar project,31.4179,119.4787,0.983,0.994,6537.294674575761,39.22365273085586,6498.071021844905,0.005999982360195701,581,0.7131573223791975
10238,光伏,冀北,河北,8.5,operating,2018.0,Liyuancun B solar project,41.162,114.873,0.92,0.943,12855.852317319974,732.7833436928987,12123.068973627076,0.056999981456356694,1225,13.323333521689069
1024,光伏,广西,广西,140.0,operating,2022.0,Guangxi Chongzuo Ningming Bangun solar project,22.0738,107.3584,0.962,0.965,161859.55961769892,5665.088824857235,156194.47079284166,0.03500002618466146,1060,103.00161499740427
10241,光伏,冀北,河北,7.6,operating,2018.0,Longhua County Jiashao poverty alleviation solar project,41.4859,117.6154,0.92,0.943,10971.759741934002,625.3901007444263,10346.369641189574,0.05699998135706426,1261,11.370729104444113
10242,光伏,冀北,河北,5.9,operating,2016.0,Longhua Haoye solar project,41.4859,117.6154,0.92,0.943,8517.550321633458,485.5002091318071,8032.050112501651,0.05699998130902736,1261,8.82727652966922
10245,光伏,吉林,吉林,14.4,operating,2018.0,Longjing Xinkai Energy poverty alleviation solar project,42.7667,129.4333,0.918,0.966,15928.919515189587,541.5829367613792,15387.336578428209,0.03399997948667727,981,9.846962486570531
10247,光伏,重庆,重庆,2.0,operating,2018.0,Jiulin solar project,31.0333,108.8625,1.0,1.0,1988.3628516351432,0.0,1988.3628516351432,0.0,0,0.0
1025,光伏,广西,广西,90.0,operating,2022.0,Guangxi Chongzuo Ningming Beijiang solar project,22.1032,107.3845,0.962,0.965,101806.30721318698,3563.2234279070794,98243.0837852799,0.03500002627976211,1066,64.78588050740144
