ObjectId,power_type_cn,province_cn,merge_province_cn,capacity_mw,gen_mwh,curt_mwh,potential_mwh,curtailment_rate,gen_utilization_hours,curtailed_equivalent_hours,potential_resource_hours,curt_positive_hours,available_low_cost_electricity_mwh,h2_alkaline_55kwh_t,h2_pem_56kwh_t,status,start_year,project_name,latitude,longitude
6117,光伏,甘肃,甘肃,50.0,59466.05038764,16772.47575036,76238.526138,0.22,1189.3210077528,335.44951500720003,1524.77052276,2193,16772.47575036,304.954104552,299.5084955421429,operating,2015.0,Xinjiang Minle Energy Chemical Industry solar farm,42.4805,85.4633
6120,光伏,新疆,新疆,50.0,48585.35012011198,13703.560290288,62288.91041039998,0.22,971.7070024022396,274.07120580576,1245.7782082079996,2249,13703.560290288,249.15564164159997,244.70643375514285,operating,2022.0,Xinjiang Karamay (Huineng) solar farm,45.7001,85.283
6121,光伏,西藏,西藏,30.0,31324.20652704599,26683.58333785401,58007.789864900005,0.4600000000000002,1044.1402175681997,889.4527779284671,1933.5929954966668,2741,26683.58333785401,485.15606068825474,476.4925596045359,operating,2017.0,Tibet Lhasa Dazi Yungao solar farm,29.6978,91.378
6122,光伏,四川,四川,20.0,29914.689612147995,2079.630828651998,31994.32044079999,0.0649999999999999,1495.7344806073995,103.9815414325999,1599.7160220399996,1317,2079.630828651998,37.81146961185451,37.13626479735711,operating,2015.0,Sichuan Yanyuan Tangniwan Fengguang solar farm,27.5733,101.4061
6123,光伏,新疆,新疆,30.0,30882.84586732801,8710.546270272003,39593.39213760002,0.2199999999999999,1029.4281955776005,290.35154234240014,1319.7797379200006,2244,8710.546270272003,158.37356855040005,155.54546911200006,operating,2013.0,Xinjiang Karamay (Tianhua) solar farm,45.5794,84.8879
6124,光伏,新疆,新疆,50.0,62051.19757356001,17501.619828439998,79552.81740200002,0.2199999999999999,1241.0239514712002,350.0323965688,1591.05634804,2205,17501.619828439998,318.211269608,312.52892550785714,operating,2016.0,Xinjiang Hami Shankou Rongxin solar farm,42.159,94.228
6125,光伏,新疆,新疆,20.0,24409.141751825995,6884.629724874002,31293.7714767,0.22,1220.4570875912998,344.2314862437001,1564.688573835,2227,6884.629724874002,125.17508590680002,122.93981651560718,operating,2013.0,Xinjiang Mori Huadian solar farm,43.8318,90.2871
6126,光伏,山西,山西,100.0,136718.59570827498,19531.227958325,156249.8236666,0.125,1367.1859570827498,195.31227958325,1562.498236666,1720,19531.227958325,355.11323560590904,348.7719278272321,operating,2018.0,Shanxi Yuxian Sunjiazhuang GCL solar farm,38.0148,112.4423
6128,光伏,西藏,西藏,20.0,21751.201532627987,18528.801305572004,40280.00283819999,0.4600000000000002,1087.5600766313994,926.4400652786002,2014.00014191,2691,18528.801305572004,336.8872964649455,330.8714518852144,operating,2016.0,Tibet Lhatse Baike solar farm,29.1118,87.5776
6129,光伏,新疆,新疆,400.0,433127.461570674,122164.155827626,555291.6173983,0.22,1082.8186539266849,305.410389569065,1388.22904349575,2172,122164.155827626,2221.1664695932004,2181.502782636179,operating,2023.0,Xinjiang Artux (State Power Investment) solar power plant,39.674,75.833
6130,光伏,山西,山西,30.0,40660.30981993749,5808.615688562503,46468.9255085,0.125,1355.343660664583,193.62052295208343,1548.9641836166666,1777,5808.615688562503,105.61119433750005,103.72528015290185,operating,2016.0,Shanxi Xiaoyi Xixinzhuang solar farm,37.0176,111.4969
6131,光伏,新疆,新疆,600.0,742697.875434684,209478.887943116,952176.7633778,0.2199999999999999,1237.82979239114,349.1314799051933,1586.9612722963334,2184,209478.887943116,3808.707053511201,3740.6944275556425,operating,2021.0,Xinjiang Corps Shihezi (Jilin Power) Unsubsidized solar power plant,44.7063,94.0963
6133,光伏,新疆,新疆,150.0,172954.78449311398,48782.118703186,221736.9031963,0.22,1153.03189662076,325.21412468790663,1478.2460213086667,2070,48782.118703186,886.9476127852,871.1092625568929,operating,2023.0,Xinjiang Moyu (China Energy Investment) solar power plant,37.157,79.473
6134,光伏,西藏,西藏,20.0,22822.33916062799,19441.251877572005,42263.59103819999,0.4600000000000002,1141.1169580313997,972.0625938786002,2113.17955191,2707,19441.251877572005,353.4773068649455,347.1652120995001,operating,2016.0,Tibet Lhatse Chawu CGN solar farm,29.0884,87.6331
6138,光伏,山西,山西,50.0,67433.56135486248,9633.3659078375,77066.92726269997,0.125,1348.6712270972496,192.66731815675,1541.3385452539994,1777,9633.3659078375,175.15210741522725,172.02439121138391,operating,2019.0,Shanxi Xiaoyi Yangquanqu (SPIC) solar farm,37.0746,111.5586
614,光伏,广东,广东,25.0,29059.902642204,1691.3170849959963,30751.2197272,0.0549999999999998,1162.39610568816,67.65268339983986,1230.0487890879997,1199,1691.3170849959963,30.751219727199935,30.20209080349994,operating,2021.0,Guangdong Guangning Nanjie (Huadian) solar farm,23.6382,112.442
6140,光伏,新疆,新疆,50.0,49391.736402918,13931.002575181994,63322.73897809999,0.2199999999999999,987.83472805836,278.6200515036399,1266.4547795619997,2263,13931.002575181994,253.2909559123999,248.76790312824988,operating,2023.0,Xinjiang Karamay Baijiantan (PetroChina - TBEA) solar farm,45.665,85.158
6142,光伏,新疆,新疆,20.0,21142.98935681401,5963.407254486,27106.396611300013,0.2199999999999999,1057.1494678407007,298.1703627243,1355.3198305650008,2154,5963.407254486,108.4255864452,106.48941525867858,operating,2015.0,Xinjiang Atushi (Xinte) solar farm,39.669,75.852
6143,光伏,新疆,新疆,100.0,123782.97934555796,34913.148020541994,158696.12736609994,0.22,1237.8297934555796,349.13148020542,1586.9612736609995,2184,34913.148020541994,634.7845094643999,623.4490717953928,operating,2022.0,Xinjiang Corps Shihezi (Jinko) Unsubsidized solar power plant,44.7063,94.0963
6145,光伏,西藏,西藏,20.0,22004.096301036,18744.230182364005,40748.3264834,0.4600000000000001,1100.2048150518,937.2115091182004,2037.41632417,2753,18744.230182364005,340.80418513389094,334.71839611364294,operating,2017.0,Tibet Lhunze Zhongfuyuan solar farm,28.4891,92.6289
6149,光伏,新疆,新疆,250.0,287919.35161275003,81208.02224975,369127.37386250007,0.2199999999999999,1151.6774064510005,324.832088999,1476.5094954500005,2196,81208.02224975,1476.5094954500003,1450.1432544598215,operating,2023.0,Xinjiang Mulei (Huadian) wind and solar base,43.8653,90.3167
6151,光伏,新疆,新疆,20.0,23480.401669686013,6622.677394013997,30103.07906370001,0.2199999999999998,1174.0200834843006,331.13386970069985,1505.1539531850003,2180,6622.677394013997,120.41231625479993,118.26209632167853,operating,2014.0,Xinjiang Awat Tianhua solar farm,40.6424,80.3727
6152,光伏,西藏,西藏,50.0,47586.48990726602,40536.63955063401,88123.12945790004,0.4599999999999999,951.7297981453204,810.7327910126802,1762.4625891580006,2682,40536.63955063401,737.0298100115274,723.8685634041789,operating,2024.0,Tibet Linzhoou Lading solar farm,29.94,91.3595
6154,光伏,新疆,新疆,20.0,19836.27308324999,5594.846254249999,25431.11933749999,0.22,991.8136541624996,279.74231271249994,1271.5559668749995,2245,5594.846254249999,101.72447734999997,99.90796882589284,operating,2014.0,Xinjiang Corps Shihezi (Tianfu) 20 MW solar farm,44.824,86.369
6158,光伏,新疆,新疆,20.0,23122.951048626004,6521.857988074011,29644.80903670002,0.2200000000000002,1156.1475524313005,326.0928994037006,1482.2404518350008,2105,6521.857988074011,118.57923614680018,116.46174978703591,operating,2016.0,Xinjiang Hami Shichengzi CECEP solar farm,43.0231,93.6721
6159,光伏,新疆,新疆,400.0,495131.9173845722,139652.592082828,634784.5094674001,0.2199999999999999,1237.8297934614304,349.13148020707,1586.9612736685006,2184,139652.592082828,2539.1380378695994,2493.796287193357,operating,2023.0,Xinjiang Corps Shihezi 134th Regiment (Tianfu) solar farm,44.7063,94.0963
6160,光伏,新疆,新疆,400.0,469608.0329272018,132453.547748698,602061.5806758997,0.22,1174.0200823180046,331.133869371745,1505.1539516897494,2180,132453.547748698,2408.2463227036,2365.2419240838926,operating,2023.0,Xinjiang Awati 400 MW Storage and solar power plant,40.6424,80.3727
6163,光伏,西藏,西藏,20.0,19090.643692445985,16262.40018245401,35353.043874899995,0.4600000000000003,954.5321846222992,813.1200091227005,1767.652193745,2669,16262.40018245401,295.6800033173456,290.40000325810735,operating,2017.0,Tibet Linzhou Zangdian solar farm,29.8929,91.3476
6165,光伏,新疆,新疆,200.0,244091.4175698181,68846.297263282,312937.7148331001,0.2199999999999999,1220.4570878490902,344.23148631641,1564.6885741655003,2227,68846.297263282,1251.7508593323996,1229.39816541575,operating,,Xinjiang Mulei (State Development Investment) Wind/Photovoltaic solar farm,43.8318,90.2871
6167,光伏,新疆,新疆,20.0,22865.58465523799,6449.267466862001,29314.85212209999,0.2200000000000001,1143.2792327618995,322.46337334310005,1465.7426061049996,2103,6449.267466862001,117.25940848840003,115.1654904796786,operating,2011.0,Xinjiang Hami Shichengzi CGN solar farm,43.0348,93.6374
6169,光伏,新疆,新疆,20.0,21068.344296557992,5942.3535195420045,27010.6978161,0.2200000000000002,1053.4172148278997,297.11767597710025,1350.5348908049998,2160,5942.3535195420045,108.0427912644001,106.11345570610725,operating,2020.0,Xinjiang Bachu (Guangdong Hydro) solar power plant,39.7981,78.5478
617,光伏,广东,广东,35.0,42418.74671880299,2468.815946597,44887.56266539999,0.0549999999999999,1211.9641919657995,70.53759847419998,1282.5017904399997,1192,2468.815946597,44.88756266539998,44.08599904637499,operating,2022.0,Guangdong Haifeng Chengdongzhen (Guangdong Electric) solar farm,22.9914,115.4076
6170,光伏,山西,山西,30.0,39340.6109259625,5620.087275137499,44960.6982011,0.1249999999999999,1311.3536975320833,187.3362425045833,1498.6899400366667,1728,5620.087275137499,102.18340500249998,100.35870134174104,operating,2017.0,Shanxi Xinfu Baicao Mountain Yaoneng solar farm,38.5407,112.6516
6171,光伏,西藏,西藏,100.0,89179.48586737797,75967.71018332201,165147.19605069995,0.4600000000000001,891.7948586737797,759.6771018332201,1651.4719605069995,2739,75967.71018332201,1381.2310942422184,1356.5662532736076,operating,2024.0,Tibet Maizhokunggar Zaxoi solar farm,30.0662,91.7619
6172,光伏,新疆,新疆,30.0,29672.25212874,8369.096754259997,38041.34888299999,0.2199999999999999,989.075070958,278.9698918086666,1268.0449627666665,2232,8369.096754259997,152.16539553199996,149.4481563260714,operating,2014.0,Xinjiang Karamay Kuitun Tianhua solar farm,44.767,84.8521
6175,光伏,新疆,新疆,30.0,34298.376995921986,9673.901203977995,43972.27819989998,0.22,1143.2792331973994,322.4633734659332,1465.7426066633327,2103,9673.901203977995,175.88911279959993,172.74823578532136,operating,2012.0,Xinjiang Hami Shichengzi CGN solar farm,43.0348,93.6374
