learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
conservative,0.675,0.2,0.135,0.5,0.75,23.6834185727174,710,7,0,0.19712198478854115,-44.263603514624656
conservative,0.675,0.2,0.135,0.5,1.0,23.6834185727174,710,8,0,0.2628293130513882,-44.252564857320024
conservative,0.675,0.2,0.135,0.75,0.0,21.78148925633645,710,0,0,0.0,-55.673180713844516
conservative,0.675,0.2,0.135,0.75,0.25,21.78148925633645,710,0,0,0.06570732826284705,-55.66214205653988
conservative,0.675,0.2,0.135,0.75,0.5,21.78148925633645,710,0,0,0.1314146565256941,-55.65110339923524
conservative,0.675,0.2,0.135,0.75,0.75,21.78148925633645,710,0,0,0.19712198478854115,-55.6400647419306
conservative,0.675,0.2,0.135,0.75,1.0,21.78148925633645,710,0,0,0.2628293130513882,-55.62902608462597
conservative,0.675,0.2,0.135,1.0,0.0,20.032296974661982,710,0,0,0.0,-66.2259515526419
conservative,0.675,0.2,0.135,1.0,0.25,20.032296974661982,710,0,0,0.06570732826284705,-66.21491289533728
conservative,0.675,0.2,0.135,1.0,0.5,20.032296974661982,710,0,0,0.1314146565256941,-66.20387423803264
conservative,0.675,0.2,0.135,1.0,0.75,20.032296974661982,710,0,0,0.19712198478854115,-66.192835580728
conservative,0.675,0.2,0.135,1.0,1.0,20.032296974661982,710,0,0,0.2628293130513882,-66.18179692342336
conservative,0.675,0.25,0.16875,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.675,0.25,0.16875,0.0,0.25,28.0,710,710,4,0.06241157336277251,-18.896509943651868
conservative,0.675,0.25,0.16875,0.0,0.5,28.0,710,710,4,0.12482314672554502,-18.886024994061252
conservative,0.675,0.25,0.16875,0.0,0.75,28.0,710,710,5,0.18723472008831754,-18.87554004447063
conservative,0.675,0.25,0.16875,0.0,1.0,28.0,710,710,6,0.24964629345109005,-18.865055094880013
conservative,0.675,0.25,0.16875,0.25,0.0,25.751421709025838,710,162,0,0.0,-32.03157350695264
conservative,0.675,0.25,0.16875,0.25,0.25,25.751421709025838,710,162,0,0.06241157336277251,-32.02108855736202
conservative,0.675,0.25,0.16875,0.25,0.5,25.751421709025838,710,162,0,0.12482314672554502,-32.010603607771394
conservative,0.675,0.25,0.16875,0.25,0.75,25.751421709025838,710,163,0,0.18723472008831754,-32.00011865818078
conservative,0.675,0.25,0.16875,0.25,1.0,25.751421709025838,710,163,0,0.24964629345109005,-31.989633708590166
conservative,0.675,0.25,0.16875,0.5,0.0,23.6834185727174,710,0,0,0.0,-44.296719486538564
conservative,0.675,0.25,0.16875,0.5,0.25,23.6834185727174,710,4,0,0.06241157336277251,-44.28623453694796
conservative,0.675,0.25,0.16875,0.5,0.5,23.6834185727174,710,5,0,0.12482314672554502,-44.27574958735733
conservative,0.675,0.25,0.16875,0.5,0.75,23.6834185727174,710,7,0,0.18723472008831754,-44.26526463776671
conservative,0.675,0.25,0.16875,0.5,1.0,23.6834185727174,710,8,0,0.24964629345109005,-44.2547796881761
conservative,0.675,0.25,0.16875,0.75,0.0,21.78148925633645,710,0,0,0.0,-55.673180713844516
conservative,0.675,0.25,0.16875,0.75,0.25,21.78148925633645,710,0,0,0.06241157336277251,-55.662695764253904
conservative,0.675,0.25,0.16875,0.75,0.5,21.78148925633645,710,0,0,0.12482314672554502,-55.65221081466328
conservative,0.675,0.25,0.16875,0.75,0.75,21.78148925633645,710,0,0,0.18723472008831754,-55.64172586507266
conservative,0.675,0.25,0.16875,0.75,1.0,21.78148925633645,710,0,0,0.24964629345109005,-55.631240915482046
conservative,0.675,0.25,0.16875,1.0,0.0,20.032296974661982,710,0,0,0.0,-66.2259515526419
conservative,0.675,0.25,0.16875,1.0,0.25,20.032296974661982,710,0,0,0.06241157336277251,-66.2154666030513
conservative,0.675,0.25,0.16875,1.0,0.5,20.032296974661982,710,0,0,0.12482314672554502,-66.20498165346068
conservative,0.675,0.25,0.16875,1.0,0.75,20.032296974661982,710,0,0,0.18723472008831754,-66.19449670387006
conservative,0.675,0.25,0.16875,1.0,1.0,20.032296974661982,710,0,0,0.24964629345109005,-66.18401175427944
conservative,0.675,0.35,0.23625,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.675,0.35,0.23625,0.0,0.25,28.0,710,710,4,0.05582006356262343,-18.897617359079906
conservative,0.675,0.35,0.23625,0.0,0.5,28.0,710,710,4,0.11164012712524686,-18.888239824917324
conservative,0.675,0.35,0.23625,0.0,0.75,28.0,710,710,5,0.16746019068787027,-18.878862290754743
conservative,0.675,0.35,0.23625,0.0,1.0,28.0,710,710,6,0.22328025425049372,-18.86948475659216
conservative,0.675,0.35,0.23625,0.25,0.0,25.751421709025838,710,162,0,0.0,-32.03157350695264
conservative,0.675,0.35,0.23625,0.25,0.25,25.751421709025838,710,162,0,0.05582006356262343,-32.02219597279006
conservative,0.675,0.35,0.23625,0.25,0.5,25.751421709025838,710,162,0,0.11164012712524686,-32.01281843862747
conservative,0.675,0.35,0.23625,0.25,0.75,25.751421709025838,710,162,0,0.16746019068787027,-32.003440904464895
conservative,0.675,0.35,0.23625,0.25,1.0,25.751421709025838,710,163,0,0.22328025425049372,-31.994063370302314
conservative,0.675,0.35,0.23625,0.5,0.0,23.6834185727174,710,0,0,0.0,-44.296719486538564
conservative,0.675,0.35,0.23625,0.5,0.25,23.6834185727174,710,3,0,0.05582006356262343,-44.28734195237598
conservative,0.675,0.35,0.23625,0.5,0.5,23.6834185727174,710,5,0,0.11164012712524686,-44.27796441821341
conservative,0.675,0.35,0.23625,0.5,0.75,23.6834185727174,710,7,0,0.16746019068787027,-44.268586884050826
conservative,0.675,0.35,0.23625,0.5,1.0,23.6834185727174,710,8,0,0.22328025425049372,-44.25920934988824
conservative,0.675,0.35,0.23625,0.75,0.0,21.78148925633645,710,0,0,0.0,-55.673180713844516
conservative,0.675,0.35,0.23625,0.75,0.25,21.78148925633645,710,0,0,0.05582006356262343,-55.66380317968194
conservative,0.675,0.35,0.23625,0.75,0.5,21.78148925633645,710,0,0,0.11164012712524686,-55.65442564551935
conservative,0.675,0.35,0.23625,0.75,0.75,21.78148925633645,710,0,0,0.16746019068787027,-55.64504811135677
conservative,0.675,0.35,0.23625,0.75,1.0,21.78148925633645,710,0,0,0.22328025425049372,-55.6356705771942
conservative,0.675,0.35,0.23625,1.0,0.0,20.032296974661982,710,0,0,0.0,-66.2259515526419
conservative,0.675,0.35,0.23625,1.0,0.25,20.032296974661982,710,0,0,0.05582006356262343,-66.21657401847933
conservative,0.675,0.35,0.23625,1.0,0.5,20.032296974661982,710,0,0,0.11164012712524686,-66.20719648431675
conservative,0.675,0.35,0.23625,1.0,0.75,20.032296974661982,710,0,0,0.16746019068787027,-66.19781895015417
