cadence_case,fixed_replacement_cadence_hours,unfloored_stack_cost_learning_rate,terminal_stack_cost_factor,strict_record_count,retain_low_count,reach_6p5_count,npv_6p5_100m_cny
fixed_40000h,40000.0,0.02,0.8320098001361613,710,710,5,-18.3688790924561
fixed_40000h,40000.0,0.03,0.7578430808270069,710,710,5,-18.103131373409273
fixed_40000h,40000.0,0.04,0.6896201328909773,710,710,5,-17.856494999588335
fixed_40000h,40000.0,0.05,0.6269191955021612,710,710,5,-17.627773297273997
fixed_40000h,40000.0,0.06,0.5693444838326089,710,710,5,-17.4158331692665
fixed_40000h,40000.0,0.07,0.5165248375797177,710,710,5,-17.219602332777338
fixed_40000h,40000.0,0.08,0.46811242661691876,710,710,5,-17.038066650027613
fixed_40000h,40000.0,0.09,0.42378151192245306,710,710,5,-16.87026754937651
fixed_40000h,40000.0,0.1,0.3832272599818555,710,710,5,-16.71529953483195
fixed_40000h,40000.0,0.11,0.3461646089001082,710,710,5,-16.57230778182433
fixed_40000h,40000.0,0.12,0.3123271844992963,710,710,5,-16.440485817152485
fixed_40000h,40000.0,0.13,0.28146626471699043,710,710,5,-16.319073281039852
fixed_40000h,40000.0,0.14,0.25334979065949276,710,710,5,-16.207353769266795
fixed_40000h,40000.0,0.15,0.22776142270252042,710,710,5,-16.104652753373667
fixed_40000h,40000.0,0.16,0.20449964006986346,710,710,5,-16.010335576957313
fixed_40000h,40000.0,0.17,0.18337688235803642,710,710,6,-15.92380552611176
fixed_40000h,40000.0,0.18,0.16421873151195435,710,710,6,-15.844501972092047
fixed_40000h,40000.0,0.19,0.1468631327932007,710,710,6,-15.771898584308067
fixed_40000h,40000.0,0.2,0.13115965331851426,710,710,6,-15.705501611783182
fixed_40000h,40000.0,0.21,0.1169687767817116,710,710,6,-15.644848231240168
fixed_40000h,40000.0,0.22,0.1041612330073774,710,710,6,-15.589504960004831
fixed_40000h,40000.0,0.23,0.092617361019298,710,710,6,-15.539066131945248
fixed_40000h,40000.0,0.24,0.08222650434078532,710,710,6,-15.493152434692147
fixed_40000h,40000.0,0.25,0.07288643727773907,710,710,6,-15.45140950641333
fixed_40000h,40000.0,0.26,0.06450282096852697,710,710,6,-15.413506590442648
fixed_40000h,40000.0,0.27,0.05698868801752136,710,710,6,-15.379135246091025
fixed_40000h,40000.0,0.28,0.05026395456142427,710,710,6,-15.348008113994512
fixed_40000h,40000.0,0.29,0.04425495864933532,710,710,6,-15.319857734381275
fixed_40000h,40000.0,0.3,0.03889402384887243,710,710,6,-15.294435416666534
fixed_40000h,40000.0,0.31,0.03411904702154427,710,710,6,-15.271510158811408
fixed_40000h,40000.0,0.32,0.029873109240994143,710,710,6,-15.250867614908358
fixed_40000h,40000.0,0.33,0.02610410885769187,710,710,6,-15.23230910948287
fixed_40000h,40000.0,0.34,0.02276441574314079,710,710,6,-15.215650697027373
fixed_40000h,40000.0,0.35,0.019810545775693602,710,710,6,-15.20072226531024
fixed_40000h,40000.0,0.36,0.017202854658632846,710,710,6,-15.187366681028985
fixed_40000h,40000.0,0.37,0.014905250189272318,710,710,6,-15.175438976403203
fixed_40000h,40000.0,0.38,0.012884922125471897,710,710,6,-15.164805575329003
fixed_40000h,40000.0,0.39,0.011112088823134709,710,710,6,-15.155343557742976
fixed_40000h,40000.0,0.4,0.009559759844969887,710,710,6,-15.146939960869586
fixed_40000h,40000.0,0.41,0.00820351376705861,710,710,6,-15.139491116052081
fixed_40000h,40000.0,0.42,0.0070212904355565625,710,710,6,-15.132902019892605
fixed_40000h,40000.0,0.43,0.005993196951202387,710,710,6,-15.127085738453205
fixed_40000h,40000.0,0.44,0.005101326684180131,710,710,6,-15.121962843294863
fixed_40000h,40000.0,0.45,0.0043295906463057055,710,710,6,-15.117460878157342
fixed_40000h,40000.0,0.46,0.0036635605714723765,710,710,6,-15.113513855107954
fixed_40000h,40000.0,0.47,0.0030903230788003216,710,710,6,-15.110061779012854
fixed_40000h,40000.0,0.48,0.002598344315990531,710,710,6,-15.107050199209402
fixed_40000h,40000.0,0.49,0.002177344502984767,710,710,6,-15.104429787283506
fixed_40000h,40000.0,0.5,0.0018181818181818182,710,710,6,-15.102155939880639
fixed_40000h,40000.0,0.51,0.0015127450911566571,710,710,6,-15.1001884055042
fixed_40000h,40000.0,0.52,0.0012538547870745043,710,710,6,-15.098490934279498
fixed_40000h,40000.0,0.53,0.0010351717887865611,710,710,6,-15.097030949686472
fixed_40000h,40000.0,0.54,0.0008511135029398515,710,710,6,-15.095779241288557
fixed_40000h,40000.0,0.55,0.0006967768363306452,710,710,6,-15.094709677509613
fixed_40000h,40000.0,0.56,0.0005678676081805377,710,710,6,-15.093798937535007
fixed_40000h,40000.0,0.57,0.0004606359830172598,710,710,6,-15.09302626143718
