ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,audited_boundary,low_npv_to_capex_128,high_npv_to_capex_128,low_128,high_128,strict_128,low_256,high_256,strict_256,low_adaptive,high_adaptive,strict_adaptive,low_capacity_mw_128,high_capacity_mw_128,low_capacity_mw_256,high_capacity_mw_256,low_capacity_mw_adaptive,low_npv_adaptive,high_capacity_mw_adaptive,high_npv_adaptive,low_final_bracket_relative_width,high_final_bracket_relative_width
7468,云南,光伏,20.0,25.6898,100.5164,False,-0.8691668048486396,-0.7270012115768795,False,False,False,False,False,False,False,False,False,1.0228981058818747,1.0228981058818747,1.0073575724633375,1.0073575724633375,,,,,,
747,甘肃,光伏,50.0,37.7575,103.1271,False,-0.30228831903789455,-0.4227992367087769,False,False,False,False,False,False,False,False,False,1.0147048594880406,1.0147048594880406,1.0147048594880406,1.0147048594880406,,,,,,
7471,山东,光伏,2.0,36.399,118.5056,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.000785909885049691,0.000785909885049691,0.000785909885049691,0.000785909885049691,,,,,,
7477,云南,光伏,30.0,25.7886,100.463,False,-0.7187345310430232,-0.6463504914322515,False,False,False,False,False,False,False,False,False,1.0150084158197403,1.0150084158197403,1.004797966330482,1.004797966330482,,,,,,
7478,云南,光伏,50.4,25.1913,101.2742,False,-0.6503517009599439,-0.609820888468463,False,False,False,False,False,False,False,False,False,1.0229085482981672,1.0229085482981672,1.007517639413736,1.007517639413736,,,,,,
7479,云南,光伏,20.0,25.7556,101.773,False,-0.9051375393283614,-0.7462864893352801,False,False,False,False,False,False,False,False,False,1.011662105335814,1.011662105335814,1.0036287557011165,1.0036287557011165,,,,,,
748,广东,光伏,60.0,21.0592,110.316,False,-2.243083900577088,-1.4310330225820307,False,False,False,False,False,False,False,False,False,1.0145700383918361,1.0145700383918361,1.0145700383918361,1.0145700383918361,,,,,,
7481,山东,光伏,6.0,37.0487,118.413,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0023285181287962657,0.0023285181287962657,0.0023285181287962657,0.0023285181287962657,,,,,,
7483,江苏,光伏,6.0,33.0,120.0,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0008018503107304107,0.0008018503107304107,0.0008018503107304107,0.0008018503107304107,,,,,,
7484,云南,光伏,30.0,25.7861,100.4627,False,-0.7187345310430232,-0.6463504914322515,False,False,False,False,False,False,False,False,False,1.0150084158197403,1.0150084158197403,1.004797966330482,1.004797966330482,,,,,,
7485,云南,光伏,450.0,25.7524,101.7919,False,-0.4700953168424621,-0.5133291829249763,False,False,False,False,False,False,False,False,False,1.1113761817086003,1.1113761817086003,1.1113761817086003,1.1113761817086003,,,,,,
7487,黑龙江,光伏,6.0,46.517,125.4193,False,-2.3877791141075906,-1.5040394280601526,False,False,False,False,False,False,False,False,False,1.1573060302734375,1.1573060302734375,1.1573060302734375,1.1573060302734375,,,,,,
7489,安徽,光伏,2.0,32.9449,117.3881,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0004475020243830936,0.0004475020243830936,0.0004475020243830936,0.0004475020243830936,,,,,,
7491,山西,光伏,7.4,37.0587,110.7629,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0028631263125249037,0.0028631263125249037,0.0028631263125249037,0.0028631263125249037,,,,,,
7493,云南,光伏,40.0,25.7803,100.3663,False,-0.5773591573065485,-0.5704725794477871,False,False,False,False,False,False,False,False,False,1.007874283941931,1.007874283941931,1.007874283941931,1.007874283941931,,,,,,
7496,安徽,光伏,10.1,32.9176,117.3826,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.002259885385294976,0.002259885385294976,0.002259885385294976,0.002259885385294976,,,,,,
7499,河北,光伏,6.0,38.3043,116.8512,False,-2.245421560401406,-1.431918120632545,False,False,False,False,False,False,False,False,False,1.1939847412109375,1.1939847412109375,1.1939847412109375,1.1939847412109375,,,,,,
75,安徽,光伏,20.0,33.423,116.983,False,-2.218185028807597,-1.4183745688583467,False,False,False,False,False,False,False,False,False,1.0269801939458842,1.0269801939458842,1.0269801939458842,1.0269801939458842,,,,,,
750,甘肃,光伏,100.0,37.765,103.1319,False,-0.22683639608706263,-0.3823129405190359,False,False,False,False,False,False,False,False,False,1.0147694413450008,1.0147694413450008,1.0147694413450008,1.0147694413450008,,,,,,
7502,吉林,光伏,15.0,41.9424,126.4103,False,-1.8801329985164827,-1.2470000668644612,False,False,False,False,False,False,False,False,False,1.033366468675076,1.033366468675076,1.015375700062719,1.015375700062719,,,,,,
7505,浙江,光伏,1.0,27.6653,120.5624,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7509,云南,光伏,50.0,25.9669,101.7746,False,-0.6404015859972668,-0.6044747547448236,False,False,False,False,False,False,False,False,False,1.014590208321662,1.014590208321662,1.014590208321662,1.014590208321662,,,,,,
751,广东,光伏,50.0,23.1688,114.7391,False,-2.3019567600485664,-1.460790281252975,False,False,False,False,False,False,False,False,False,1.0293249513823735,1.0293249513823735,1.0073594992026313,1.0073594992026313,,,,,,
7511,吉林,光伏,1.6,41.9369,126.4185,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0006371339542622066,0.0006371339542622066,0.0006371339542622066,0.0006371339542622066,,,,,,
7514,云南,光伏,20.0,25.7075,101.8732,False,-0.9114008615962768,-0.7496149004676005,False,False,False,False,False,False,False,False,False,1.0085118075313195,1.0085118075313195,1.000542355367931,1.000542355367931,,,,,,
7517,云南,光伏,50.0,25.7959,100.3517,False,-0.5316237498065559,-0.5459934533178061,False,False,False,False,False,False,False,False,False,1.0317491390604006,1.0317491390604006,1.0157722821749886,1.0157722821749886,,,,,,
7518,吉林,光伏,3.0,45.4086,123.1327,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0011437195905478349,0.0011437195905478349,0.0011437195905478349,0.0011437195905478349,,,,,,
752,广东,光伏,100.0,21.7468,110.8869,False,-2.101087188359252,-1.359220950969227,False,False,False,False,False,False,False,False,False,1.0028561694479594,1.0028561694479594,1.0028561694479594,1.0028561694479594,,,,,,
7523,云南,光伏,150.0,25.8231,100.5821,False,-0.5028325754080765,-0.5308549326475023,False,False,False,False,False,False,False,False,False,1.0222963654907158,1.0222963654907158,1.0222963654907158,1.0222963654907158,,,,,,
7527,黑龙江,光伏,10.0,46.517,125.4193,False,-1.9423635112517352,-1.2784408719237408,False,False,False,False,False,False,False,False,False,1.0387120515304373,1.0387120515304373,1.0152343983984236,1.0152343983984236,,,,,,
7528,云南,光伏,70.0,27.2525,100.7819,False,-0.5505072069579648,-0.5563350520658317,False,False,False,False,False,False,False,False,False,1.0217083283864627,1.0217083283864627,1.001427687404714,1.001427687404714,,,,,,
7530,内蒙古,光伏,10.0,40.387,106.921,False,-0.9506705223370598,-0.7703587355874575,False,False,False,False,False,False,False,False,False,1.0078077650596744,1.0078077650596744,1.0078077650596744,1.0078077650596744,,,,,,
7532,云南,光伏,170.0,27.42,100.4017,False,-0.5449564444724185,-0.5535163292914187,False,False,False,False,False,False,False,False,False,1.0206142319906955,1.0206142319906955,1.0206142319906955,1.0206142319906955,,,,,,
7533,云南,光伏,30.0,25.8295,100.5761,False,-0.7301421173085714,-0.6525577329002459,False,False,False,False,False,False,False,False,False,1.0007036616263003,1.0007036616263003,1.0007036616263003,1.0007036616263003,,,,,,
7535,浙江,光伏,1.5,30.7474,120.7511,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7537,浙江,光伏,120.0,30.171,121.2652,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7538,山东,光伏,3.8,36.6961,119.0915,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.001436893683441911,0.001436893683441911,0.001436893683441911,0.001436893683441911,,,,,,
7539,天津,光伏,10.4,39.0857,117.3076,False,-2.0872224707872458,-1.3518236779781874,False,False,False,False,False,False,False,False,False,1.0422977524295671,1.0422977524295671,1.0422977524295671,1.0422977524295671,,,,,,
754,甘肃,光伏,350.0,37.7575,103.1271,False,-0.16408932874718132,-0.34862076788710084,False,False,False,False,False,False,False,False,False,1.0399515123829144,1.0399515123829144,1.0399515123829144,1.0399515123829144,,,,,,
7540,浙江,光伏,20.0,29.0001,120.0001,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7543,云南,光伏,80.0,25.6813,100.5925,False,-0.5365777385287178,-0.548892571889698,False,False,False,False,False,False,False,False,False,1.0097769129180212,1.0097769129180212,1.0097769129180212,1.0097769129180212,,,,,,
7544,江苏,光伏,5.5,33.9934,119.8147,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0007505489682817749,0.0007505489682817749,0.0007505489682817749,0.0007505489682817749,,,,,,
7546,河北,光伏,1.0,38.858,115.4907,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0005823874118441307,0.0005823874118441307,0.0005823874118441307,0.0005823874118441307,,,,,,
7547,浙江,光伏,1.0,29.0,120.0,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7550,云南,光伏,105.0,27.161,100.941,False,-0.4102964825600751,-0.4810851392086757,False,False,False,False,False,False,False,False,False,1.0606306750157695,1.0606306750157695,1.0302499519162023,1.0302499519162023,,,,,,
7551,浙江,光伏,22.0,29.0001,120.0001,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7554,浙江,光伏,13.0,30.6383,119.6755,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7556,河北,光伏,1.6,38.858,115.4907,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.000931820024175323,0.000931820024175323,0.000931820024175323,0.000931820024175323,,,,,,
7557,河北,光伏,1.0,38.3043,116.8512,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0005458964644187559,0.0005458964644187559,0.0005458964644187559,0.0005458964644187559,,,,,,
