terminal_price,price_shape,rule,selected_record_count,durable_record_count,strict_selected_count,selected_capacity_gw,selected_capex_100m_cny,selected_h2_mt_per_year,durable_capacity_gw,durable_capex_100m_cny,durable_h2_mt_per_year,total_selected_capacity_gw,total_selected_capex_100m_cny,total_selected_h2_mt_per_year,at_risk_record_count,at_risk_capex_100m_cny
19.0,back_loaded,conditional_forward_screen,1029,1029,0,3.8846499349998824,279.69479531999156,0.17287720395136671,3.8846499349998824,279.69479531999156,0.17287720395136671,3.8846499349998824,279.69479531999156,0.17287720395136671,0,0.0
19.0,back_loaded,low_hurdle_locked,1791,538,0,4.2294782403051965,304.5224333019741,0.17897572751093732,4.2294782403051965,304.5224333019741,0.17897572751093732,8.422973421453497,606.4540863446518,0.322599964043221,1253,301.9316530426776
19.0,back_loaded,static_6p5_locked,1098,1015,0,4.474904244750274,322.1931056220197,0.1948874904965209,4.474904244750274,322.1931056220197,0.1948874904965209,4.591393079003398,330.5803016882446,0.19921149571592425,83,8.387196066224938
19.0,all_timings,robust_forward_screen,501,501,0,1.5209060371883536,109.50523467756146,0.0750090601335108,1.5209060371883536,109.50523467756146,0.0750090601335108,1.5209060371883536,109.50523467756146,0.0750090601335108,0,0.0
20.0,front_loaded,conditional_forward_screen,594,594,0,1.89818373423972,136.66922886525987,0.09176385948228119,1.89818373423972,136.66922886525987,0.09176385948228119,1.89818373423972,136.66922886525987,0.09176385948228119,0,0.0
20.0,front_loaded,low_hurdle_locked,1791,172,0,1.3393032661627093,96.42983516371505,0.06129532376930697,1.3393032661627093,96.42983516371505,0.06129532376930697,8.422973421453497,606.4540863446518,0.322599964043221,1619,510.02425118093674
20.0,front_loaded,static_6p5_locked,1098,285,0,1.9531484727602524,140.62669003873816,0.09006235449347053,1.9531484727602524,140.62669003873816,0.09006235449347053,4.591393079003398,330.5803016882446,0.19921149571592425,813,189.95361164950646
20.0,linear,conditional_forward_screen,878,878,0,3.0624776841191546,220.49839325657913,0.14060895093292575,3.0624776841191546,220.49839325657913,0.14060895093292575,3.0624776841191546,220.49839325657913,0.14060895093292575,0,0.0
20.0,linear,low_hurdle_locked,1791,328,0,2.8252977910539747,203.42144095588614,0.12391564695542441,2.8252977910539747,203.42144095588614,0.12391564695542441,8.422973421453497,606.4540863446518,0.322599964043221,1463,403.03264538876556
20.0,linear,static_6p5_locked,1098,743,0,3.9642948980160297,285.42923265715416,0.17476818916108164,3.9642948980160297,285.42923265715416,0.17476818916108164,4.591393079003398,330.5803016882446,0.19921149571592425,355,45.151069031090486
