learning_multiple,records_reaching_6p5,share_reaching_6p5
8.3,6,0.008658008658008658
8.4,6,0.008658008658008658
8.5,6,0.008658008658008658
8.6,6,0.008658008658008658
8.7,6,0.008658008658008658
8.8,6,0.008658008658008658
8.9,6,0.008658008658008658
9.0,6,0.008658008658008658
9.1,6,0.008658008658008658
9.2,6,0.008658008658008658
9.3,6,0.008658008658008658
9.4,6,0.008658008658008658
9.5,6,0.008658008658008658
9.6,6,0.008658008658008658
9.7,6,0.008658008658008658
9.8,6,0.008658008658008658
9.9,6,0.008658008658008658
10.0,6,0.008658008658008658
10.1,6,0.008658008658008658
10.2,6,0.008658008658008658
10.3,6,0.008658008658008658
10.4,6,0.008658008658008658
10.5,6,0.008658008658008658
10.6,6,0.008658008658008658
10.7,6,0.008658008658008658
10.8,6,0.008658008658008658
10.9,6,0.008658008658008658
11.0,6,0.008658008658008658
11.1,6,0.008658008658008658
11.2,6,0.008658008658008658
11.3,6,0.008658008658008658
11.4,6,0.008658008658008658
11.5,6,0.008658008658008658
11.6,6,0.008658008658008658
11.7,6,0.008658008658008658
11.8,6,0.008658008658008658
11.9,6,0.008658008658008658
12.0,6,0.008658008658008658
12.1,6,0.008658008658008658
12.2,6,0.008658008658008658
12.3,6,0.008658008658008658
12.4,6,0.008658008658008658
12.5,6,0.008658008658008658
12.6,6,0.008658008658008658
12.7,6,0.008658008658008658
12.8,6,0.008658008658008658
12.9,6,0.008658008658008658
13.0,6,0.008658008658008658
13.1,6,0.008658008658008658
13.2,6,0.008658008658008658
13.3,6,0.008658008658008658
13.4,6,0.008658008658008658
13.5,6,0.008658008658008658
13.6,6,0.008658008658008658
13.7,6,0.008658008658008658
13.8,6,0.008658008658008658
13.9,6,0.008658008658008658
14.0,6,0.008658008658008658
14.1,6,0.008658008658008658
14.2,6,0.008658008658008658
14.3,6,0.008658008658008658
14.4,6,0.008658008658008658
14.5,6,0.008658008658008658
14.6,6,0.008658008658008658
14.7,6,0.008658008658008658
14.8,6,0.008658008658008658
14.9,6,0.008658008658008658
15.0,6,0.008658008658008658
15.1,6,0.008658008658008658
15.2,6,0.008658008658008658
15.3,6,0.008658008658008658
15.4,6,0.008658008658008658
15.5,6,0.008658008658008658
15.6,6,0.008658008658008658
15.7,6,0.008658008658008658
15.8,6,0.008658008658008658
15.9,6,0.008658008658008658
16.0,6,0.008658008658008658
16.1,6,0.008658008658008658
16.2,6,0.008658008658008658
16.3,6,0.008658008658008658
16.4,6,0.008658008658008658
16.5,6,0.008658008658008658
16.6,6,0.008658008658008658
16.7,6,0.008658008658008658
16.8,6,0.008658008658008658
16.9,6,0.008658008658008658
17.0,6,0.008658008658008658
17.1,6,0.008658008658008658
17.2,6,0.008658008658008658
17.3,6,0.008658008658008658
17.4,6,0.008658008658008658
17.5,6,0.008658008658008658
17.6,6,0.008658008658008658
17.7,6,0.008658008658008658
17.8,6,0.008658008658008658
17.9,6,0.008658008658008658
18.0,6,0.008658008658008658
18.1,6,0.008658008658008658
18.2,6,0.008658008658008658
18.3,6,0.008658008658008658
18.4,6,0.008658008658008658
18.5,6,0.008658008658008658
18.6,6,0.008658008658008658
18.7,6,0.008658008658008658
18.8,6,0.008658008658008658
18.9,6,0.008658008658008658
19.0,6,0.008658008658008658
19.1,6,0.008658008658008658
19.2,6,0.008658008658008658
19.3,6,0.008658008658008658
19.4,6,0.008658008658008658
19.5,6,0.008658008658008658
19.6,6,0.008658008658008658
19.7,6,0.008658008658008658
19.8,6,0.008658008658008658
19.9,6,0.008658008658008658
20.0,6,0.008658008658008658
