ObjectId,hurdle,selected_index,passes
11183,0.01447315,0,False
11186,0.01447315,0,False
11187,0.01447315,9,True
11188,0.01447315,9,True
11189,0.01447315,9,True
11191,0.01447315,15,False
11193,0.01447315,11,False
112,0.01447315,5,False
11201,0.01447315,15,False
11202,0.01447315,0,False
11203,0.01447315,0,False
11204,0.01447315,0,False
11205,0.01447315,0,False
11208,0.01447315,15,False
11209,0.01447315,15,False
11210,0.01447315,0,False
11211,0.01447315,14,False
11214,0.01447315,12,False
11220,0.01447315,0,False
11223,0.01447315,0,False
11226,0.01447315,0,False
11227,0.01447315,0,False
1123,0.01447315,7,False
11236,0.01447315,15,False
11239,0.01447315,0,False
1124,0.01447315,5,False
11241,0.01447315,0,False
11243,0.01447315,0,False
11245,0.01447315,0,False
11247,0.01447315,0,False
1125,0.01447315,13,False
11251,0.01447315,12,False
11253,0.01447315,15,False
11256,0.01447315,14,False
11258,0.01447315,0,False
11262,0.01447315,0,False
11264,0.01447315,0,False
11267,0.01447315,0,False
11268,0.01447315,0,False
1127,0.01447315,0,False
11273,0.01447315,15,False
11277,0.01447315,0,False
11278,0.01447315,0,False
1128,0.01447315,6,False
11280,0.01447315,12,False
11282,0.01447315,0,False
11283,0.01447315,0,False
11286,0.01447315,0,False
11290,0.01447315,0,False
11291,0.01447315,0,False
11298,0.01447315,0,False
113,0.01447315,7,False
1130,0.01447315,5,False
11305,0.01447315,0,False
11307,0.01447315,0,False
11309,0.01447315,15,False
1132,0.01447315,5,False
11320,0.01447315,0,False
11324,0.01447315,0,False
11329,0.01447315,0,False
1133,0.01447315,11,False
11331,0.01447315,0,False
11335,0.01447315,0,False
1134,0.01447315,9,False
11344,0.01447315,0,False
11358,0.01447315,0,False
11363,0.01447315,0,False
11373,0.01447315,8,True
11374,0.01447315,0,False
11377,0.01447315,0,False
11383,0.01447315,0,False
1139,0.01447315,5,False
11390,0.01447315,0,False
11392,0.01447315,0,False
11393,0.01447315,0,False
114,0.01447315,5,False
1140,0.01447315,6,False
11400,0.01447315,0,False
11404,0.01447315,0,False
11410,0.01447315,0,False
11421,0.01447315,0,False
11424,0.01447315,0,False
11425,0.01447315,0,False
11431,0.01447315,11,False
11436,0.01447315,0,False
11438,0.01447315,14,False
11439,0.01447315,0,False
11440,0.01447315,0,False
11449,0.01447315,15,False
11451,0.01447315,0,False
11453,0.01447315,0,False
11459,0.01447315,0,False
11461,0.01447315,15,False
11468,0.01447315,13,False
1147,0.01447315,4,False
11473,0.01447315,0,False
11474,0.01447315,0,False
11479,0.01447315,0,False
11480,0.01447315,0,False
11481,0.01447315,0,False
11482,0.01447315,14,False
11485,0.01447315,0,False
11487,0.01447315,0,False
11490,0.01447315,15,False
11493,0.01447315,0,False
115,0.01447315,5,False
11518,0.01447315,0,False
11526,0.01447315,0,False
11534,0.01447315,0,False
11540,0.01447315,0,False
11542,0.01447315,12,False
11543,0.01447315,11,False
11544,0.01447315,14,False
11545,0.01447315,0,False
11548,0.01447315,0,False
1155,0.01447315,10,False
11550,0.01447315,0,False
11552,0.01447315,0,False
11556,0.01447315,0,False
11558,0.01447315,12,False
11561,0.01447315,0,False
11563,0.01447315,13,False
11564,0.01447315,0,False
11569,0.01447315,12,False
11570,0.01447315,0,False
11574,0.01447315,11,False
11576,0.01447315,15,False
11577,0.01447315,0,False
11578,0.01447315,0,False
11581,0.01447315,0,False
11582,0.01447315,0,False
11587,0.01447315,15,False
11594,0.01447315,14,False
11598,0.01447315,0,False
116,0.01447315,5,False
11600,0.01447315,0,False
11603,0.01447315,15,False
11605,0.01447315,0,False
1161,0.01447315,5,False
11614,0.01447315,0,False
11616,0.01447315,0,False
11619,0.01447315,0,False
1162,0.01447315,5,False
11623,0.01447315,0,False
11628,0.01447315,0,False
1163,0.01447315,11,False
11634,0.01447315,0,False
11635,0.01447315,0,False
11636,0.01447315,0,False
1164,0.01447315,6,False
11641,0.01447315,0,False
1165,0.01447315,8,False
11650,0.01447315,0,False
11651,0.01447315,0,False
1166,0.01447315,0,False
11667,0.01447315,0,False
11685,0.01447315,0,False
11686,0.01447315,0,False
1169,0.01447315,7,False
11692,0.01447315,14,False
11693,0.01447315,0,False
117,0.01447315,5,False
1170,0.01447315,0,False
11706,0.01447315,15,False
11716,0.01447315,0,False
1172,0.01447315,9,False
11720,0.01447315,0,False
11729,0.01447315,0,False
11737,0.01447315,14,False
11744,0.01447315,0,False
11745,0.01447315,0,False
11747,0.01447315,15,False
1175,0.01447315,14,False
11750,0.01447315,0,False
11758,0.01447315,0,False
11759,0.01447315,14,False
11766,0.01447315,14,False
11772,0.01447315,0,False
11774,0.01447315,0,False
11780,0.01447315,0,False
11786,0.01447315,15,False
1179,0.01447315,6,False
118,0.01447315,5,False
1180,0.01447315,8,False
11801,0.01447315,0,False
11807,0.01447315,0,False
11810,0.01447315,15,False
11811,0.01447315,0,False
1182,0.01447315,0,False
1183,0.01447315,5,False
11833,0.01447315,0,False
11834,0.01447315,11,False
1184,0.01447315,6,False
11841,0.01447315,0,False
11845,0.01447315,0,False
11847,0.01447315,0,False
11849,0.01447315,0,False
11850,0.01447315,0,False
11852,0.01447315,14,False
11856,0.01447315,0,False
11858,0.01447315,0,False
11859,0.01447315,11,False
1186,0.01447315,5,False
