ObjectId,merge_province_cn,power_type_cn,viable_at_zero_hurdle,critical_nominal_equity_return,critical_nominal_equity_return_pct,right_censored_at_15pct
10676,北京,光伏,False,,,False
10679,西藏,光伏,True,0.10031615216284989,10.031615216284989,False
10683,云南,光伏,False,,,False
10685,江苏,光伏,False,,,False
10686,福建,光伏,False,,,False
10687,青海,光伏,False,,,False
10688,河南,光伏,False,,,False
10691,江苏,光伏,False,,,False
10693,青海,光伏,False,,,False
10694,江苏,光伏,False,,,False
10695,福建,光伏,False,,,False
10697,湖北,光伏,False,,,False
107,甘肃,光伏,True,0.001240532426163554,0.1240532426163554,False
10702,河南,光伏,False,,,False
10703,浙江,光伏,False,,,False
10704,湖南,光伏,False,,,False
10706,青海,光伏,False,,,False
10708,山东,光伏,False,,,False
10709,浙江,光伏,False,,,False
10710,湖南,光伏,False,,,False
10711,甘肃,光伏,False,,,False
10714,青海,光伏,False,,,False
10718,湖南,光伏,False,,,False
1072,广西,光伏,False,,,False
10720,浙江,光伏,False,,,False
10722,青海,光伏,False,,,False
10725,浙江,光伏,False,,,False
10726,江西,光伏,False,,,False
10728,江苏,光伏,False,,,False
10729,新疆,光伏,False,,,False
10732,江西,光伏,False,,,False
10733,江苏,光伏,False,,,False
10734,内蒙古,光伏,False,,,False
1074,广西,光伏,False,,,False
10740,江苏,光伏,False,,,False
1075,广西,光伏,False,,,False
10755,福建,光伏,False,,,False
10757,山东,光伏,False,,,False
10761,陕西,光伏,False,,,False
10762,福建,光伏,False,,,False
10767,安徽,光伏,False,,,False
10768,河北,光伏,False,,,False
10772,天津,光伏,False,,,False
10778,新疆,光伏,False,,,False
10779,浙江,光伏,False,,,False
1078,广西,光伏,False,,,False
10781,江苏,光伏,False,,,False
10782,河南,光伏,False,,,False
10783,重庆,光伏,False,,,False
10796,江苏,光伏,False,,,False
10799,宁夏,光伏,False,,,False
108,甘肃,光伏,True,0.001240532426163554,0.1240532426163554,False
10802,浙江,光伏,False,,,False
10805,江苏,光伏,False,,,False
10806,山东,光伏,False,,,False
