ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,low_return_entry,conventional_6p5,strict_marginal,low_selected_capacity_mw,low_selected_h2_t_per_year,low_selected_npv_100m_cny,high_selected_capacity_mw,high_selected_h2_t_per_year
W8092,云南,风电,50.0,25.2689,102.3689,False,False,False,1.0187355319367795,20.33734300504516,-0.05786186650651442,1.0187355319367795,20.33734300504516
W8093,云南,风电,42.0,24.8877,103.7358,False,False,False,1.0120144334962486,27.01706484972074,-0.01541446252386791,1.0120144334962486,27.01706484972074
W8094,云南,风电,50.0,25.1199,103.8179,False,False,False,1.0048554910886471,27.647587915857073,-0.010225847441000864,1.0048554910886471,27.647587915857073
W8095,云南,风电,50.0,25.0858,103.8442,False,False,False,1.0048554910886471,27.647587915857073,-0.010225847441000864,1.0048554910886471,27.647587915857073
W8096,云南,风电,215.0,24.8811,104.3119,True,False,True,1.1047350397412652,33.64733670870073,0.00885480399363279,1.0471893801997474,31.969186559588525
W8098,云南,风电,215.0,25.0996,104.1865,True,False,True,1.1047350397412652,33.64733670870073,0.00885480399363279,1.0471893801997474,31.969186559588525
W8099,云南,风电,36.0,25.799,102.6033,False,False,False,1.0174400394187322,10.829939160910065,-0.12187811240430314,1.0174400394187322,10.829939160910065
W8100,云南,风电,32.0,24.475,103.8083,False,False,False,1.0057517880184919,17.735375587184176,-0.07161129881000568,1.0057517880184919,17.735375587184176
W8101,云南,风电,40.0,24.5417,103.8667,False,False,False,1.027782003099585,19.463913400196788,-0.06494299361401189,1.027782003099585,19.463913400196788
W8102,云南,风电,48.0,24.211,103.1119,False,False,False,1.0009485537017109,13.302344143386518,-0.1010726186521116,1.0009485537017109,13.302344143386518
W8103,云南,风电,50.0,24.5171,103.8418,False,False,False,1.013970920728898,20.58931914371187,-0.05547472983741175,1.013970920728898,20.58931914371187
W8104,云南,风电,50.0,24.535,103.764,False,False,False,1.013970920728898,20.58931914371187,-0.05547472983741175,1.013970920728898,20.58931914371187
W8105,云南,风电,48.0,24.4833,103.8667,False,False,False,1.0234215403727875,20.532888469362796,-0.05753443697113862,1.0234215403727875,20.532888469362796
W8107,云南,风电,750.0,24.5305,103.7701,False,False,False,1.2220500520860935,31.96739498014878,-0.022573320659194707,1.2220500520860935,31.96739498014878
W8108,云南,风电,48.0,24.401,103.8583,False,False,False,1.0234215403727875,20.532888469362796,-0.05753443697113862,1.0234215403727875,20.532888469362796
W8109,云南,风电,50.0,23.181,104.785,False,False,False,1.0114531776264706,6.794670077434427,-0.14950396658350434,1.0114531776264706,6.794670077434427
W811,福建,风电,48.0,25.2916,119.3026,False,False,False,0.0,0.0,0.0,0.0,0.0
W8110,云南,风电,85.0,23.181,104.785,False,False,False,1.016492694586143,9.959522955953485,-0.127907990636611,1.016492694586143,9.959522955953485
W8111,云南,风电,350.0,25.4351,103.578,True,False,True,1.4839597295660134,45.05830801945254,0.011038664287725193,1.0587800653543744,32.524796645278904
W8113,云南,风电,90.0,25.3425,103.4792,False,False,False,1.0407725389591285,29.384065415778064,-0.0059537083247730846,1.0407725389591285,29.384065415778064
W8115,云南,风电,50.0,22.0294,100.1078,False,False,False,1.0104206067652834,4.527378294584822,-0.16550225488078898,1.0104206067652834,4.527378294584822
W8116,云南,风电,50.0,23.4833,103.4501,False,False,False,1.0038502403952363,11.912055580055885,-0.1115302890486554,1.0038502403952363,11.912055580055885
W8117,云南,风电,48.0,24.1406,103.1886,False,False,False,1.0009485537017109,13.302344143386518,-0.1010726186521116,1.0009485537017109,13.302344143386518
W8118,云南,风电,48.0,24.0832,103.1985,False,False,False,1.0009485537017109,13.302344143386518,-0.1010726186521116,1.0009485537017109,13.302344143386518
W8119,云南,风电,48.0,24.1188,103.2335,False,False,False,1.0009485537017109,13.302344143386518,-0.1010726186521116,1.0009485537017109,13.302344143386518
W8120,云南,风电,50.0,24.0747,103.234,False,False,False,1.004962101526934,13.546898364780134,-0.10011501044666057,1.004962101526934,13.546898364780134
W8121,云南,风电,550.0,24.1932,103.4019,False,False,False,1.0904923546918888,25.014652533614782,-0.04183386956532671,1.0904923546918888,25.014652533614782
W8124,云南,风电,50.0,23.555,101.7103,False,False,False,1.0091963823437091,7.972198537188819,-0.14065616483633608,1.0091963823437091,7.972198537188819
W8125,云南,风电,152.0,25.555,101.6974,False,False,False,1.0379479885728944,26.846230234924665,-0.02107203900021296,1.0379479885728944,26.846230234924665
W8126,云南,风电,50.0,25.2021,101.5198,False,False,False,1.0067057413075422,14.974364129052564,-0.09030807648252355,1.0067057413075422,14.974364129052564
W8128,云南,风电,50.0,25.2957,101.4222,False,False,False,1.0159338159176168,14.482996845556242,-0.09559670349940798,1.0159338159176168,14.482996845556242
W8129,云南,风电,301.0,25.1083,100.8917,False,False,False,1.0277753010224238,17.776559317358068,-0.0752077126453187,1.0277753010224238,17.776559317358068
W8130,云南,风电,50.0,25.2303,101.3316,False,False,False,1.013525953590436,10.98572505261412,-0.12001298791195204,1.013525953590436,10.98572505261412
W8132,云南,风电,50.0,25.3301,101.3122,False,False,False,1.0159338159176168,14.482996845556242,-0.09559670349940798,1.0159338159176168,14.482996845556242
W8133,云南,风电,49.5,27.3156,100.7613,False,False,False,1.0069376393625586,7.721840868213035,-0.14198249975556174,1.0069376393625586,7.721840868213035
W8135,云南,风电,50.0,27.2283,100.9362,False,False,False,1.0144483157957302,6.967371039847798,-0.14884561050892345,1.0144483157957302,6.967371039847798
W8136,云南,风电,50.0,26.9464,103.1294,False,False,False,1.0022433329676979,6.380913855299007,-0.1506400850554674,1.0022433329676979,6.380913855299007
W8137,云南,风电,39.0,26.9986,103.1564,False,False,False,1.003084672356519,5.474581170640011,-0.15728181391427717,1.003084672356519,5.474581170640011
W8138,云南,风电,36.0,25.0001,102.0001,False,False,False,1.0096559484091365,13.062195502441892,-0.1044827250040309,1.0096559484091365,13.062195502441892
W8139,云南,风电,50.0,26.9148,103.209,False,False,False,1.0022433329676979,6.380913855299007,-0.1506400850554674,1.0022433329676979,6.380913855299007
W814,福建,风电,48.0,25.2284,119.1589,False,False,False,0.0,0.0,0.0,0.0,0.0
W8141,云南,风电,50.0,25.0001,102.0001,False,False,False,1.0067057413075422,14.974364129052564,-0.09030807648252355,1.0067057413075422,14.974364129052564
W8143,云南,风电,40.0,25.5556,103.9301,False,False,False,1.0140907920404014,25.3260457796008,-0.026235554907334334,1.0140907920404014,25.3260457796008
W8144,云南,风电,48.0,24.0418,103.8543,False,False,False,1.0152919305877897,16.958225172934583,-0.07808153933455045,1.0152919305877897,16.958225172934583
W8145,云南,风电,48.0,24.0418,103.8543,False,False,False,1.0152919305877897,16.958225172934583,-0.07808153933455045,1.0152919305877897,16.958225172934583
W8146,云南,风电,48.0,24.0418,103.8543,False,False,False,1.0152919305877897,16.958225172934583,-0.07808153933455045,1.0152919305877897,16.958225172934583
W8147,云南,风电,50.0,25.2638,103.8626,False,False,False,1.0309524378467656,26.765313456294994,-0.02036887283238173,1.0309524378467656,26.765313456294994
W8148,云南,风电,350.0,24.0402,104.1948,False,False,False,1.0924511452842882,25.644440001694868,-0.03829018018798144,1.0924511452842882,25.644440001694868
W8150,云南,风电,48.0,24.0418,103.8543,False,False,False,1.0152919305877897,16.958225172934583,-0.07808153933455045,1.0152919305877897,16.958225172934583
W8151,云南,风电,50.0,24.2501,103.8583,False,False,False,1.013970920728898,20.58931914371187,-0.05547472983741175,1.013970920728898,20.58931914371187
W8152,云南,风电,48.0,26.3121,104.4654,False,False,False,1.0045967873560029,18.808145302663092,-0.06480394731210534,1.0045967873560029,18.808145302663092
W8153,云南,风电,150.0,25.2011,103.954,True,False,True,1.0150995514393322,30.480559728060605,0.005438163228310302,1.0150995514393322,30.480559728060605
