year,learning_strength,source_case_id,cumulative_electrolyzer_gw,energy_factor,stack_life_hours,stack_cost_factor,new_build_equipment_factor,new_build_bop_epc_factor
2046,conservative,T1_conservative,540.0,0.9515417302702072,77768.03223425735,0.65,0.65,0.8667793487989879
2047,conservative,T1_conservative,580.0,0.9508358008559206,78026.8730194958,0.65,0.65,0.8649759275045882
2048,conservative,T1_conservative,620.0,0.950176969544714,78268.44450027157,0.65,0.65,0.8632962118263671
2049,conservative,T1_conservative,660.0,0.9495593429164316,78494.90759730835,0.65,0.65,0.8617245114356735
2050,conservative,T1_conservative,700.0,0.9489780688900142,78708.04140699477,0.65,0.65,0.8602479328657353
2051,conservative,T1_conservative,730.0,0.9485635126070768,78860.04537740513,0.65,0.65,0.8591964041883988
2052,conservative,T1_conservative,760.0,0.9481656544736088,79005.92669301003,0.65,0.65,0.8581884393804239
2053,conservative,T1_conservative,790.0,0.9477832012251272,79146.15955078666,0.65,0.65,0.8572206172260224
2054,conservative,T1_conservative,820.0,0.9474150042567884,79281.16510584422,0.65,0.65,0.8562899026974934
2055,conservative,T1_conservative,850.0,0.947060038821893,79411.31909863921,0.65,0.65,0.8553935910482828
2056,conservative,T1_conservative,880.0,0.9467173868399706,79536.9581586774,0.65,0.65,0.8545292616587609
2057,conservative,T1_conservative,910.0,0.9463862225879665,79658.38505107899,0.65,0.65,0.8536947396633056
2058,conservative,T1_conservative,940.0,0.9460658007131072,79775.87307186068,0.65,0.65,0.8528880638368426
2059,conservative,T1_conservative,970.0,0.9457554461295776,79889.66975248826,0.65,0.65,0.8521074595551223
2060,conservative,T1_conservative,1000.0,0.9454545454545454,80000.0,0.65,0.65,0.851351315896921
2026,base,T2_base,4.0,1.0,60000.0,1.0,1.0,1.0
2027,base,T2_base,50.0,0.9636109875258716,72008.3741164623,0.6020282270085557,0.6020282270085557,0.8295222152229293
2028,base,T2_base,80.0,0.9568394889462242,74242.968647746,0.55,0.55,0.8011669472539883
2029,base,T2_base,110.0,0.9522514201446848,75757.031352254,0.55,0.55,0.7825075630627747
2030,base,T2_base,140.0,0.94877691819707,76903.61699496696,0.55,0.55,0.768666699747022
2031,base,T2_base,196.0,0.9439292507949524,78503.34723766569,0.55,0.55,0.7497638678177517
2032,base,T2_base,252.0,0.9403084802556269,79698.20151564316,0.55,0.55,0.7359490569474036
2033,base,T2_base,308.0,0.9374173508158828,80652.27423075866,0.55,0.55,0.7251011425473414
2034,base,T2_base,364.0,0.9350105470666517,81446.51946800499,0.55,0.55,0.7161925480668415
2035,base,T2_base,420.0,0.9329488456261452,82126.88094337212,0.55,0.55,0.7086484093952498
2036,base,T2_base,476.0,0.931145578604362,82721.95906056059,0.55,0.55,0.7021151077236094
2037,base,T2_base,532.0,0.9295431138928064,83250.7724153739,0.55,0.55,0.6963598830394834
2038,base,T2_base,588.0,0.9281011782240278,83726.61118607083,0.55,0.55,0.6912215301195486
2039,base,T2_base,644.0,0.926790517564031,84159.12920386977,0.55,0.55,0.686583879095038
2040,base,T2_base,700.0,0.9255892109966634,84555.56037110108,0.55,0.55,0.6823605022627364
2041,base,T2_base,770.0,0.9242160455421612,85008.70497108685,0.55,0.55,0.6775647398454966
2042,base,T2_base,840.0,0.9229624436994605,85422.39357917805,0.55,0.55,0.6732159889254873
2043,base,T2_base,910.0,0.9218092417929298,85802.95020833318,0.55,0.55,0.6692401777294261
2044,base,T2_base,980.0,0.920741543594546,86155.2906137998,0.55,0.55,0.665580087690738
2045,base,T2_base,1050.0,0.9197475403524232,86483.31168370029,0.55,0.55,0.6621906200105985
2046,base,T2_base,1120.0,0.9188177124170158,86790.15490238479,0.55,0.55,0.6590356116956028
2047,base,T2_base,1190.0,0.91794427333064,87078.38980088878,0.55,0.55,0.656085630530199
2048,base,T2_base,1260.0,0.9171207730552204,87350.14489177728,0.55,0.55,0.6533164091844909
2049,base,T2_base,1330.0,0.9163418086190848,87607.20315570207,0.55,0.55,0.6507077086279485
2050,base,T2_base,1400.0,0.9156028090699788,87851.07300690703,0.55,0.55,0.65
2051,base,T2_base,1480.0,0.914802195745418,88115.27540401206,0.55,0.55,0.65
2052,base,T2_base,1560.0,0.9140437399711596,88365.56580951737,0.55,0.55,0.65
