resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year
curtailment_only,curtailment_only_P22_back_loaded_base,22.0,back_loaded,base,strict_marginal_vs_6p5,741,272,0,0,0,0,0.36707152496626183,0.0,0.0,-6.403615563860225,-38.91488320158765,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P22_back_loaded_optimistic,22.0,back_loaded,optimistic,strict_marginal_vs_6p5,741,307,0,0,0,0,0.4143049932523617,0.0,0.0,-4.054793563056978,-38.451995590887265,1.996362631393401,143.7381094603249,0.059781516288062976
curtailment_only,curtailment_only_P18_front_loaded_none,18.0,front_loaded,none,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-99.83522592776725,-78.66221811328232,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P18_front_loaded_conservative,18.0,front_loaded,conservative,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-95.18186060496465,-77.74238725453867,1.996362631393401,143.7381094603249,0.059567640459391634
curtailment_only,curtailment_only_P18_front_loaded_base,18.0,front_loaded,base,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-93.55550503451438,-77.42230216430598,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P18_front_loaded_optimistic,18.0,front_loaded,optimistic,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-91.34999508294464,-76.9870262556252,1.996362631393401,143.7381094603249,0.059781516288062976
curtailment_only,curtailment_only_P18_linear_none,18.0,linear,none,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-67.94731547140881,-61.40593969712175,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P18_linear_conservative,18.0,linear,conservative,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-63.30833721699054,-60.488840500443956,1.996362631393401,143.7381094603249,0.059567640459391634
curtailment_only,curtailment_only_P18_linear_base,18.0,linear,base,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-61.68065685049486,-60.168422815292644,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P18_linear_optimistic,18.0,linear,optimistic,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-59.471937408933705,-59.73245354841919,1.996362631393401,143.7381094603249,0.059781516288062976
curtailment_only,curtailment_only_P18_back_loaded_none,18.0,back_loaded,none,strict_marginal_vs_6p5,741,16,0,0,0,0,0.021592442645074223,0.0,0.0,-37.19963883585441,-47.23048179789923,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P18_back_loaded_conservative,18.0,back_loaded,conservative,strict_marginal_vs_6p5,741,54,0,0,0,0,0.0728744939271255,0.0,0.0,-32.57121618793911,-46.315296383346194,1.996362631393401,143.7381094603249,0.059567640459391634
curtailment_only,curtailment_only_P18_back_loaded_base,18.0,back_loaded,base,strict_marginal_vs_6p5,741,68,0,0,0,0,0.09176788124156546,0.0,0.0,-30.93621890824849,-45.99335664149249,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P18_back_loaded_optimistic,18.0,back_loaded,optimistic,strict_marginal_vs_6p5,741,77,0,0,0,0,0.1039136302294197,0.0,0.0,-28.718028791297716,-45.55545029975569,1.996362631393401,143.7381094603249,0.059781516288062976
full_output_upper_bound,full_output_upper_bound_P22_front_loaded_none,22.0,front_loaded,none,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-92.77386831740208,-56.48780118659887,1.0850577635365433,78.12415897463111,0.08941437003295884
full_output_upper_bound,full_output_upper_bound_P22_front_loaded_conservative,22.0,front_loaded,conservative,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-65.65995348440036,-46.93128266978258,1.0850577635365433,78.12415897463111,0.09166064270882597
full_output_upper_bound,full_output_upper_bound_P22_front_loaded_base,22.0,front_loaded,base,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-50.13127868338215,-41.432638977186365,1.0850577635365433,78.12415897463111,0.09333806891983658
full_output_upper_bound,full_output_upper_bound_P22_front_loaded_optimistic,22.0,front_loaded,optimistic,strict_marginal_vs_6p5,760,4,0,0,0,0,0.005263157894736842,0.0,0.0,-32.864025834458516,-35.309667379911645,1.0850577635365433,78.12415897463111,0.09513102083819541
full_output_upper_bound,full_output_upper_bound_P22_linear_none,22.0,linear,none,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-61.945184403574295,-40.36605458644492,1.0850577635365433,78.12415897463111,0.08941437003295884
full_output_upper_bound,full_output_upper_bound_P22_linear_conservative,22.0,linear,conservative,strict_marginal_vs_6p5,760,4,0,0,0,0,0.005263157894736842,0.0,0.0,-35.5838766656413,-31.021493926973218,1.0850577635365433,78.12415897463111,0.09166064270882597
