ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_h2_price,strict_marginal_vs_6p5,retain_low_return,raw_npv_colocated_6p5_pass,raw_npv_independent_h2_8_pass,reach_colocated_6p5,reach_independent_h2_8,npv_low_100m_cny,npv_colocated_6p5_100m_cny
W7901,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.15452395280605918,-0.06236322704720198
W7903,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.07422381208831383,-0.045301212240016445
W7904,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.1575693771704198,0.08758589708938243
W7907,新疆,风电,full_output_upper_bound,12.0,False,True,True,False,True,False,0.0070820055073649345,0.004186384386474435
W7909,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.19174465138543523,-0.05082226591690788
W7911,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.1575693771704198,0.08758589708938243
W7913,新疆,风电,full_output_upper_bound,12.0,False,True,True,False,True,False,0.0070820055073649345,0.004186384386474435
W7914,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.1575693771704198,0.08758589708938243
W7916,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.1916096974968969,-0.07733039926995748
W7919,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.05812793859364942,0.0320720067757178
W7921,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.1575693771704198,0.08758589708938243
W7923,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.5029486360730765,-0.22302046160672165
W7925,新疆,风电,full_output_upper_bound,12.0,False,True,True,False,True,False,0.014164014460321367,0.008372770688076403
W7926,天津,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4011961362749008,-0.1516917105812536
W7927,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.16478527836416187,0.08763174571623575
W7931,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4947489956068787,-0.19860660165071778
W7932,天津,风电,full_output_upper_bound,12.0,True,False,False,False,False,False,-0.38400998909977363,-0.14628918799749033
W7933,新疆,风电,full_output_upper_bound,12.0,False,True,True,False,True,False,0.0070820055073649345,0.004186384386474435
W7935,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3448644923547285,-0.09140695938037618
W7937,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18113334717821614,-0.06855902515364505
W7938,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.1947919841751391,-0.07210892317227029
W794,广西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-2.0613570497333535,-0.7883430378526558
W7941,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3448644923547285,-0.09140695938037618
W7945,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.07048587989584142,-0.03160849392224918
W7946,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.9311916448529783,-0.36768227917193747
W7948,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.6897289807079476,-0.18281391655407686
W7949,新疆,风电,full_output_upper_bound,12.0,False,True,True,False,True,False,0.0070820055073649345,0.004186384386474435
W7950,天津,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4011961362749008,-0.1516917105812536
W7951,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.9311916448529783,-0.36768227917193747
W7952,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18113334717821614,-0.06855902515364505
W7953,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3448644923547285,-0.09140695938037618
W7955,天津,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.2647894476972293,-0.10011652791806949
