scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main,candidate_station_count,capacity_candidates_per_station,minimum_electrolyzer_capacity_mw,low_return_entry_count,colocated_6p5_same_configuration_count,colocated_6p5_independent_optimized_count,independent_h2_8_same_configuration_count,independent_h2_8_independent_optimized_count,strict_marginal_vs_6p5_count,strict_marginal_vs_8_count,low_return_station_count,low_return_capacity_gw,low_return_capex_100m_cny,low_return_h2_mt_per_year,low_return_mean_capture_target,low_return_median_capture_target,strict_6p5_station_count,strict_6p5_capacity_gw,strict_6p5_capex_100m_cny,strict_6p5_h2_mt_per_year,strict_6p5_mean_capture_target,strict_6p5_median_capture_target,strict_8_station_count,strict_8_capacity_gw,strict_8_capex_100m_cny,strict_8_h2_mt_per_year,strict_8_mean_capture_target,strict_8_median_capture_target
C734,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.7,0.035,False,10214,16,1.0,2240,860,1104,525,978,1136,1262,2240,7.012564154984615,757.3569287383385,0.23166014548293007,0.5669196428571429,0.6,1136,2.221711208279423,239.94481049417772,0.059755606567667006,0.4236795774647887,0.4,1262,2.7095648246461,292.63300106177877,0.07418278293296372,0.4394611727416798,0.4
C735,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.7,0.045,False,10214,16,1.0,2055,714,1052,415,887,1003,1168,2055,6.5664606754104415,709.1777529443277,0.22103748211114674,0.5667639902676399,0.6,1003,2.0719415898427695,223.7696917030191,0.05737649143906742,0.41096709870388837,0.4,1168,2.545190775675162,274.8806037729175,0.07203874945681424,0.441181506849315,0.4
C736,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.8,0.025,False,10214,16,1.0,2409,1025,1291,838,1099,1118,1310,2409,7.457912152206731,805.4545124383269,0.241946433341327,0.5681195516811954,0.6,1118,1.678705858274206,181.30023269361428,0.04298324118997459,0.42549194991055456,0.4,1310,2.6082168007843958,281.68741448471474,0.0689038572606197,0.43694656488549616,0.4
C737,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.8,0.035,False,10214,16,1.0,2192,941,1162,644,1027,1030,1165,2192,6.84962365998204,739.7593552780603,0.22782568339259948,0.566286496350365,0.6,1030,1.8813214215681633,203.18271352936165,0.05053975668105948,0.41252427184466023,0.4,1165,2.4361945711646626,263.10901368578357,0.06676949517125473,0.4274678111587983,0.4
C738,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.5,0.8,0.045,False,10214,16,1.0,1992,813,1070,508,932,922,1060,1992,6.373903788399319,688.3816091471265,0.21634996344041865,0.5671184738955823,0.6,922,1.8459684622241188,199.36459392020484,0.05141480963657529,0.4065075921908894,0.4,1060,2.2861938717298456,246.90893814682332,0.06490710142549713,0.42905660377358484,0.4
C739,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.5,0.025,False,10214,16,1.0,3159,823,1205,363,1027,1954,2132,3159,12.032583860148321,1299.5190568960188,0.3839379563623054,0.5207692307692308,0.5,1954,4.3484674189897135,469.634481250889,0.11314548937528364,0.3985209825997953,0.4,2132,5.280221132465187,570.2638823062402,0.1399827180694111,0.41435741088180117,0.4
C740,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.5,0.035,False,10214,16,1.0,2999,726,1137,358,961,1862,2038,2999,11.437448541652298,1235.2444424984483,0.37046698068943357,0.5189396465488496,0.5,1862,4.283885785503948,462.6596648344264,0.1138169931838665,0.39613319011815246,0.4,2038,5.070230347960925,547.5848775797799,0.13737580734762928,0.41565260058881254,0.4
C741,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.5,0.045,False,10214,16,1.0,2810,620,1091,273,878,1719,1932,2810,10.83623846931289,1170.313754685792,0.35649720090371473,0.5211743772241992,0.5,1719,4.061965961987704,438.6923238946721,0.11015656944497257,0.39586969168121006,0.4,1932,4.937155731763938,533.2128190305052,0.13737507678895242,0.42215320910973086,0.4
C742,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.7,0.025,False,10214,16,1.0,3095,982,1328,669,1130,1767,1965,3095,11.78068613591419,1272.3141026787325,0.3782702221667877,0.5209854604200324,0.5,1767,3.254149291083932,351.4481234370647,0.08382135269477817,0.3907470288624788,0.4,1965,4.580185205519114,494.6600021960642,0.1209593519380921,0.40170483460559797,0.4
C743,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.7,0.035,False,10214,16,1.0,2833,871,1229,530,1069,1604,1764,2833,10.942908970988436,1181.834168866751,0.3590014548794517,0.521708436286622,0.5,1604,3.3864312313661356,365.7345729875427,0.09020372403604056,0.3865336658354115,0.4,1764,4.211036153632183,454.79190459227584,0.1140976663451938,0.39948979591836736,0.4
