ObjectId,merge_province_cn,power_type_cn,low_return_entry_weather_year_count,strict_marginal_weather_year_count,colocated_6p5_weather_year_count
11011,浙江,光伏,0,0,0
11013,山东,光伏,0,0,0
11014,天津,光伏,0,0,0
11016,新疆,光伏,0,0,0
11019,新疆,光伏,0,0,0
11021,山东,光伏,0,0,0
11022,新疆,光伏,0,0,0
11024,河南,光伏,0,0,0
11027,山东,光伏,0,0,0
11028,宁夏,光伏,0,0,0
11029,湖北,光伏,0,0,0
11034,山西,光伏,0,0,0
11038,西藏,光伏,6,0,6
11039,山西,光伏,0,0,0
1104,广东,光伏,0,0,0
11041,西藏,光伏,6,0,6
11042,山西,光伏,0,0,0
11043,浙江,光伏,0,0,0
11044,辽宁,光伏,0,0,0
11045,西藏,光伏,6,0,6
11048,山东,光伏,0,0,0
11051,西藏,光伏,6,0,6
11052,山西,光伏,0,0,0
11055,江西,光伏,0,0,0
11056,江苏,光伏,0,0,0
11061,浙江,光伏,0,0,0
11062,山西,光伏,0,0,0
11064,浙江,光伏,0,0,0
11077,浙江,光伏,0,0,0
11081,内蒙古,光伏,0,0,0
11086,浙江,光伏,0,0,0
11088,辽宁,光伏,0,0,0
11093,内蒙古,光伏,0,0,0
11094,江苏,光伏,0,0,0
11098,河北,光伏,0,0,0
111,甘肃,光伏,6,6,0
1110,广西,光伏,0,0,0
11101,宁夏,光伏,0,0,0
11112,浙江,光伏,0,0,0
11113,江苏,光伏,0,0,0
11116,山东,光伏,0,0,0
11131,河南,光伏,0,0,0
11132,山西,光伏,0,0,0
11133,浙江,光伏,0,0,0
11137,山东,光伏,0,0,0
11145,宁夏,光伏,0,0,0
1115,贵州,光伏,0,0,0
11154,天津,光伏,0,0,0
1116,广西,光伏,0,0,0
11161,天津,光伏,0,0,0
11163,天津,光伏,0,0,0
11169,天津,光伏,0,0,0
11171,浙江,光伏,0,0,0
11172,江苏,光伏,0,0,0
11174,浙江,光伏,0,0,0
11175,浙江,光伏,0,0,0
11178,青海,光伏,0,0,0
11181,山西,光伏,0,0,0
11183,山西,光伏,0,0,0
11186,西藏,光伏,0,0,0
11187,西藏,光伏,6,0,6
11188,西藏,光伏,6,0,6
11189,西藏,光伏,6,0,6
11191,辽宁,光伏,0,0,0
11193,辽宁,光伏,0,0,0
112,甘肃,光伏,6,6,0
11201,辽宁,光伏,0,0,0
11202,江苏,光伏,0,0,0
11203,四川,光伏,0,0,0
11204,福建,光伏,0,0,0
11205,陕西,光伏,0,0,0
11208,山西,光伏,0,0,0
11209,江西,光伏,0,0,0
11210,江西,光伏,0,0,0
11211,吉林,光伏,0,0,0
11214,内蒙古,光伏,0,0,0
11220,浙江,光伏,0,0,0
11223,浙江,光伏,0,0,0
11226,浙江,光伏,0,0,0
11227,浙江,光伏,0,0,0
1123,贵州,光伏,0,0,0
11236,山东,光伏,0,0,0
11239,浙江,光伏,0,0,0
1124,广西,光伏,0,0,0
11241,山东,光伏,0,0,0
11243,江苏,光伏,0,0,0
11245,山西,光伏,0,0,0
11247,浙江,光伏,0,0,0
1125,广东,光伏,0,0,0
11251,山东,光伏,0,0,0
11253,河北,光伏,0,0,0
11256,山东,光伏,0,0,0
11258,江西,光伏,0,0,0
11262,山东,光伏,0,0,0
11264,山东,光伏,0,0,0
11267,浙江,光伏,0,0,0
11268,江苏,光伏,0,0,0
1127,广东,光伏,0,0,0
11273,河北,光伏,0,0,0
11277,浙江,光伏,0,0,0
11278,浙江,光伏,0,0,0
1128,贵州,光伏,0,0,0
