ObjectId,merge_province_cn,power_type_cn,weather_year,critical_terminal_price_for_6p5,critical_price_right_censored_at_60,critical_operational_learning_multiple,learning_multiple_right_censored_at_20,not_flipped_within_multiple_8
6219,新疆,光伏,2020,35.426810681819916,False,20.0,True,True
6224,新疆,光伏,2020,31.71402543783188,False,20.0,True,True
6230,新疆,光伏,2020,33.89690279960632,False,20.0,True,True
6233,新疆,光伏,2020,39.20834630727768,False,20.0,True,True
6239,新疆,光伏,2020,40.13840585947037,False,20.0,True,True
6247,新疆,光伏,2020,32.37406700849533,False,20.0,True,True
6251,新疆,光伏,2020,36.7731311917305,False,20.0,True,True
6253,新疆,光伏,2020,34.50956404209137,False,20.0,True,True
6259,新疆,光伏,2020,32.33277887105942,False,20.0,True,True
6260,新疆,光伏,2020,37.835277915000916,False,20.0,True,True
6261,新疆,光伏,2020,34.59750384092331,False,20.0,True,True
6263,新疆,光伏,2020,35.73219805955887,False,20.0,True,True
6268,新疆,光伏,2020,34.037450551986694,False,20.0,True,True
6270,新疆,光伏,2020,31.750408709049225,False,20.0,True,True
6272,新疆,光伏,2020,35.52236616611481,False,20.0,True,True
6276,新疆,光伏,2020,34.39549148082733,False,20.0,True,True
6277,新疆,光伏,2020,37.781256437301636,False,20.0,True,True
6280,新疆,光伏,2020,35.94894915819168,False,20.0,True,True
6286,新疆,光伏,2020,36.416112184524536,False,20.0,True,True
6288,新疆,光伏,2020,35.27473658323288,False,20.0,True,True
6289,新疆,光伏,2020,35.63815265893936,False,20.0,True,True
6290,新疆,光伏,2020,36.44684761762619,False,20.0,True,True
6294,新疆,光伏,2020,35.09200930595398,False,20.0,True,True
6295,新疆,光伏,2020,32.048103511333466,False,20.0,True,True
6301,新疆,光伏,2020,39.050434827804565,False,20.0,True,True
6321,新疆,光伏,2020,33.24313312768936,False,20.0,True,True
6322,新疆,光伏,2020,35.41229546070099,False,20.0,True,True
6323,新疆,光伏,2020,34.558880031108856,False,20.0,True,True
6324,新疆,光伏,2020,37.466155886650085,False,20.0,True,True
6325,新疆,光伏,2020,37.466155886650085,False,20.0,True,True
6326,新疆,光伏,2020,37.472164034843445,False,20.0,True,True
6327,新疆,光伏,2020,37.472164034843445,False,20.0,True,True
6328,新疆,光伏,2020,34.573746621608734,False,20.0,True,True
6329,新疆,光伏,2020,37.27982819080353,False,20.0,True,True
6331,新疆,光伏,2020,37.77181684970856,False,20.0,True,True
6332,新疆,光伏,2020,37.34007686376572,False,20.0,True,True
6334,新疆,光伏,2020,34.64359313249588,False,20.0,True,True
6335,新疆,光伏,2020,37.3191636800766,False,20.0,True,True
6336,新疆,光伏,2020,37.32985407114029,False,20.0,True,True
6337,新疆,光伏,2020,34.656035006046295,False,20.0,True,True
6339,新疆,光伏,2020,36.7731311917305,False,20.0,True,True
6341,新疆,光伏,2020,37.361117005348206,False,20.0,True,True
6342,新疆,光伏,2020,38.43878209590912,False,20.0,True,True
6344,新疆,光伏,2020,35.46289712190628,False,20.0,True,True
6345,新疆,光伏,2020,37.868932485580444,False,20.0,True,True
6347,新疆,光伏,2020,38.35720807313919,False,20.0,True,True
6349,新疆,光伏,2020,37.75966465473175,False,20.0,True,True
6350,新疆,光伏,2020,34.902383387088776,False,20.0,True,True
6351,新疆,光伏,2020,39.581451416015625,False,20.0,True,True
6352,新疆,光伏,2020,37.18726605176926,False,20.0,True,True
6353,新疆,光伏,2020,40.19194811582565,False,20.0,True,True
6356,新疆,光伏,2020,37.17749744653702,False,20.0,True,True
6358,新疆,光伏,2020,31.992660462856293,False,20.0,True,True
6360,新疆,光伏,2020,31.992660462856293,False,20.0,True,True
6361,新疆,光伏,2020,31.905785501003265,False,20.0,True,True
6362,新疆,光伏,2020,33.75283598899841,False,20.0,True,True
6363,新疆,光伏,2020,38.941213488578796,False,20.0,True,True
6364,新疆,光伏,2020,36.559482514858246,False,20.0,True,True
6365,新疆,光伏,2020,33.82974922657013,False,20.0,True,True
6367,新疆,光伏,2020,38.011092245578766,False,20.0,True,True
6368,新疆,光伏,2020,38.72515708208084,False,20.0,True,True
6369,新疆,光伏,2020,40.101251006126404,False,20.0,True,True
6371,新疆,光伏,2020,37.40227818489075,False,20.0,True,True
6372,新疆,光伏,2020,34.50234979391098,False,20.0,True,True
6374,新疆,光伏,2020,34.51614707708359,False,20.0,True,True
6375,新疆,光伏,2020,34.52925056219101,False,20.0,True,True
6376,新疆,光伏,2020,39.67910706996918,False,20.0,True,True
6378,新疆,光伏,2020,39.71646040678024,False,20.0,True,True
6379,新疆,光伏,2020,39.72162991762161,False,20.0,True,True
6380,新疆,光伏,2020,35.33918559551239,False,20.0,True,True
6381,新疆,光伏,2020,37.205877006053925,False,20.0,True,True
6385,新疆,光伏,2020,34.30529326200485,False,20.0,True,True
6386,新疆,光伏,2020,36.79033488035202,False,20.0,True,True
6387,新疆,光伏,2020,31.58863127231598,False,20.0,True,True
6388,新疆,光伏,2020,33.67583245038986,False,20.0,True,True
6389,新疆,光伏,2020,34.13333594799042,False,20.0,True,True
6390,新疆,光伏,2020,39.67953264713287,False,20.0,True,True
6394,新疆,光伏,2020,31.633678078651428,False,20.0,True,True
6395,新疆,光伏,2020,36.90839409828186,False,20.0,True,True
6402,新疆,光伏,2020,36.7731311917305,False,20.0,True,True
6403,新疆,光伏,2020,36.91818058490753,False,20.0,True,True
6405,新疆,光伏,2020,34.545370638370514,False,20.0,True,True
6406,新疆,光伏,2020,36.70783370733261,False,20.0,True,True
6407,新疆,光伏,2020,36.72788321971893,False,20.0,True,True
6411,新疆,光伏,2020,34.344498217105865,False,20.0,True,True
6412,新疆,光伏,2020,37.78372943401337,False,20.0,True,True
6414,新疆,光伏,2020,36.94743812084198,False,20.0,True,True
6415,新疆,光伏,2020,31.604866683483124,False,20.0,True,True
6417,新疆,光伏,2020,34.32880103588104,False,20.0,True,True
6418,新疆,光伏,2020,39.017163813114166,False,20.0,True,True
6419,新疆,光伏,2020,37.78372943401337,False,20.0,True,True
6420,新疆,光伏,2020,36.34794384241104,False,20.0,True,True
6423,新疆,光伏,2020,36.37486517429352,False,20.0,True,True
6424,新疆,光伏,2020,36.84739887714386,False,20.0,True,True
6427,新疆,光伏,2020,36.9118657708168,False,20.0,True,True
6428,新疆,光伏,2020,33.706474006175995,False,20.0,True,True
6429,新疆,光伏,2020,34.333960711956024,False,20.0,True,True
6430,新疆,光伏,2020,36.47394508123398,False,20.0,True,True
6434,新疆,光伏,2020,36.828865706920624,False,20.0,True,True
6435,新疆,光伏,2020,32.37745374441147,False,20.0,True,True
6436,新疆,光伏,2020,34.93914216756821,False,20.0,True,True
6437,新疆,光伏,2020,36.3437882065773,False,20.0,True,True
6440,新疆,光伏,2020,36.47297590970993,False,20.0,True,True
6443,新疆,光伏,2020,36.82120889425278,False,20.0,True,True
6444,新疆,光伏,2020,36.34431481361389,False,20.0,True,True
6447,新疆,光伏,2020,32.518201768398285,False,20.0,True,True
6448,新疆,光伏,2020,36.91864013671875,False,20.0,True,True
6451,新疆,光伏,2020,34.092721939086914,False,20.0,True,True
6453,新疆,光伏,2020,36.38946175575256,False,20.0,True,True
6456,新疆,光伏,2020,36.91864013671875,False,20.0,True,True
