weather_year,province,low_return_entry_count,strict_marginal_count,strict_marginal_capacity_gw,strict_marginal_h2_mt_per_year,low_entry_min,low_entry_median,low_entry_max,strict_min,strict_median,strict_max,strict_capacity_gw_min,strict_capacity_gw_max,strict_h2_mt_min,strict_h2_mt_max
2021,西藏,81,2,0.0024786783189554547,7.133805616070287e-05,80,80.5,81,1,1.5,2,0.0010993669393013204,0.002505828044324713,3.4606352819080037e-05,7.392469976021755e-05
2021,贵州,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,辽宁,170,6,0.008027935767124104,0.00025857128691818883,168,170.0,172,4,6.0,9,0.0049119421962875226,0.014590777934723777,0.0001546244396426152,0.00047383007936873935
2021,重庆,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,陕西,108,108,0.14519957024434957,0.004368000068790427,8,84.0,112,8,84.0,112,0.012010337366828572,0.15243428646524815,0.0003339583489313473,0.004600097453217204
2021,青海,205,117,0.15402849883064884,0.004915604941477994,196,204.0,212,112,115.5,128,0.14728558221936272,0.26785250948970785,0.004701703136913552,0.008257001027215365
2021,黑龙江,88,52,0.08295016971121319,0.0026182353405493,82,90.0,101,40,52.0,78,0.06346867430746032,0.13582461898862871,0.0020130719231357917,0.004240182549261972
2022,上海,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,云南,0,0,0.0,0.0,0,3.5,13,0,3.5,13,0.0,0.030946222516161297,0.0,0.0009123228779773685
2022,内蒙古,502,57,0.11706084540866266,0.003557512246129645,486,500.5,505,29,42.5,63,0.07074402222487562,0.14663767947648562,0.002157044660473353,0.004421317018469183
2022,北京,0,0,0.0,0.0,0,0.0,4,0,0.0,4,0.0,0.008470775884025448,0.0,0.00023878562948387847
2022,吉林,121,2,0.002303792469428799,7.729559518831027e-05,121,121.0,121,1,1.5,2,0.0010501510149906353,0.002450427841509769,3.4484252558303004e-05,8.11001594364625e-05
2022,四川,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,天津,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,宁夏,0,0,0.0,0.0,0,11.0,27,0,11.0,27,0.0,0.03747385118555162,0.0,0.001064370731648817
2022,安徽,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,山东,47,40,0.05173268774176907,0.0014972437070822676,15,98.0,162,15,91.0,151,0.02116873369259747,0.20718643201747564,0.0006649320978099052,0.005986880857772836
2022,山西,64,63,0.12199731555004438,0.0036983381241193374,50,95.5,167,48,74.0,93,0.08048941924348048,0.19077834750586273,0.002369287827252001,0.0057121635809281755
2022,广东,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,广西,0,0,0.0,0.0,0,0.0,3,0,0.0,3,0.0,0.00473611997996419,0.0,0.00013294836354445783
2022,新疆,554,461,1.0626699208700001,0.032663101363059506,550,560.5,573,443,460.0,478,1.0377505846890343,1.179811033415984,0.032056471733686746,0.03638716045563033
2022,江苏,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,江西,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,河北,231,27,0.05533624385145575,0.0016796772912919175,231,241.5,255,27,37.0,44,0.05533624385145575,0.09625685741705992,0.0016796772912919175,0.0029196753524431732
2022,河南,2,1,0.0014404597636973537,3.9735194669938845e-05,1,9.5,19,0,8.5,18,0.0,0.024741256816101592,0.0,0.0006968645342109532
2022,浙江,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,海南,1,1,0.0010883750803057648,3.0280794887645968e-05,1,1.5,2,1,1.5,2,0.001070005411943451,0.002428487717051305,3.0280794887645968e-05,7.640353572599015e-05
2022,湖北,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,湖南,0,0,0.0,0.0,0,0.0,2,0,0.0,2,0.0,0.0024779096823910243,0.0,6.83018794817893e-05
2022,甘肃,239,221,0.5396989078007114,0.015498432701744329,239,253.0,263,216,226.0,237,0.4868529117015945,0.6131063233046181,0.013986178993089994,0.017592323892039165
2022,福建,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,西藏,80,1,0.001105375948915713,3.487130084608543e-05,80,80.5,81,1,1.5,2,0.0010993669393013204,0.002505828044324713,3.4606352819080037e-05,7.392469976021755e-05
2022,贵州,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,辽宁,170,7,0.010240807905239041,0.00033078744809410775,168,170.0,172,4,6.0,9,0.0049119421962875226,0.014590777934723777,0.0001546244396426152,0.00047383007936873935
2022,重庆,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,陕西,42,42,0.05339588451989827,0.0014900333615438576,8,84.0,112,8,84.0,112,0.012010337366828572,0.15243428646524815,0.0003339583489313473,0.004600097453217204
2022,青海,212,121,0.16358076719920284,0.005198181017639533,196,204.0,212,112,115.5,128,0.14728558221936272,0.26785250948970785,0.004701703136913552,0.008257001027215365
2022,黑龙江,101,42,0.06346867430746032,0.0020197005574493798,82,90.0,101,40,52.0,78,0.06346867430746032,0.13582461898862871,0.0020130719231357917,0.004240182549261972
2023,上海,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,云南,8,7,0.02186962624310855,0.0006408240326310418,0,3.5,13,0,3.5,13,0.0,0.030946222516161297,0.0,0.0009123228779773685
2023,内蒙古,500,32,0.07074402222487562,0.002157044660473353,486,500.5,505,29,42.5,63,0.07074402222487562,0.14663767947648562,0.002157044660473353,0.004421317018469183
2023,北京,0,0,0.0,0.0,0,0.0,4,0,0.0,4,0.0,0.008470775884025448,0.0,0.00023878562948387847
2023,吉林,121,1,0.0011001510920805528,3.4484252558303004e-05,121,121.0,121,1,1.5,2,0.0010501510149906353,0.002450427841509769,3.4484252558303004e-05,8.11001594364625e-05
