ObjectId,2020,2021,2022,2023,2024,2025,mean_mwh,sd_mwh,cv
10221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10227,11421.068068065762,11340.452030163287,11642.259132419107,11554.53104700488,11374.683228806496,11492.527001202703,11470.920084610372,104.5493427214756,0.009114294402742914
10228,122.45061515036224,125.62762065133452,128.58980802938342,122.19518857079,122.27184026765823,135.4929210358262,126.10466561755909,4.7935632234686825,0.03801257629916919
10229,20.86702273538709,22.10986591446772,22.30155957989025,22.603435053706168,21.983652557842436,23.53018531864881,22.232620193323744,0.7924478392695775,0.035643474875154055
1023,1103.3645511287004,1163.6512197464406,1150.5266622864008,1152.2825133902431,1105.9482011537552,1132.5009774346352,1134.7123541900294,23.13443399783181,0.020387928193789193
10233,39.223652732491495,41.07352783369273,41.97254318541288,40.5429712838456,40.64321088135242,43.4793462934345,41.1558753683716,1.3193562310939173,0.03205754267853202
10238,732.7833421267271,709.8945660332441,745.8213831717968,739.5639429903626,693.8833753973246,710.11055819121,722.0095279851108,18.577204891161564,0.025729861132171458
1024,5665.088824020148,5903.179917018413,5770.325238590717,5693.47912022686,5599.177079656601,5648.097011547088,5713.224531843305,99.41401809757475,0.017400684594746706
10241,625.3901005921364,589.1182269206047,634.5890639564991,627.8510601935088,590.6302717682719,604.7379466078877,612.0527783398181,18.13733830004834,0.029633618115819254
10242,485.50020970276,457.341780783534,492.6415102255344,487.4106913882494,458.5156061774194,469.467616422385,475.1462357833138,14.080302149886421,0.029633618220028617
10245,541.5829349260479,547.2541060334146,566.0003762035631,561.2858967867494,546.4415538880825,569.7169255121946,555.3802988916754,10.719953486169747,0.019302005324212317
10247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,3563.223424725294,3713.390638465881,3629.08082806921,3580.8388089866044,3522.909205165863,3556.2478325657844,3594.281789663106,62.02668029362827,0.01725704436196753
10252,1853.799258183241,1869.9441118302343,1843.837331212521,1896.2321345567705,1836.5685926299093,1890.6963026661872,1865.179621846477,22.515390846878766,0.012071433004714657
10253,165.76550825253875,163.9949720063582,162.54441903919167,165.081170422405,160.5940709090084,162.35207177645714,163.38870206765986,1.7549263762603478,0.010740806151539328
