electrical_buffer_hours,round_trip_efficiency,battery_capex_cny_per_kwh,battery_fixed_om_rate,battery_replacement_interval_years,battery_replacement_cost_factor,free_lossless_upper_bound,learning_case,strict_record_count,electrolyser_input_twh_per_year,raw_electricity_draw_twh_per_year,ending_stored_energy_gwh,battery_capex_100m_cny,mean_h2_mt_per_year,retain_low_count,reach_6p5_count,zero_buffer_max_absorbed_kwh_error
1.0,0.9,2400.0,0.025,15.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05745127495548779,5,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,15.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05800545519908095,23,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,20.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05745127495548779,15,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,20.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05800545519908095,109,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,20.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05745127495548779,4,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,20.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05800545519908095,23,0,1.4156103134155273e-06
1.0,0.95,0.0,0.0,,0.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,0.0,0.05772560514018959,710,655,1.4156103134155273e-06
1.0,0.95,0.0,0.0,,0.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,0.0,0.05828828860693222,710,709,1.4156103134155273e-06
1.0,0.95,900.0,0.025,10.0,0.7,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05772560514018959,710,4,1.4156103134155273e-06
1.0,0.95,900.0,0.025,10.0,0.7,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05828828860693222,710,9,1.4156103134155273e-06
1.0,0.95,900.0,0.025,10.0,1.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05772560514018959,666,0,1.4156103134155273e-06
1.0,0.95,900.0,0.025,10.0,1.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05828828860693222,710,4,1.4156103134155273e-06
1.0,0.95,900.0,0.025,15.0,0.7,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05772560514018959,710,15,1.4156103134155273e-06
1.0,0.95,900.0,0.025,15.0,0.7,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05828828860693222,710,31,1.4156103134155273e-06
1.0,0.95,900.0,0.025,15.0,1.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05772560514018959,710,6,1.4156103134155273e-06
1.0,0.95,900.0,0.025,15.0,1.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05828828860693222,710,20,1.4156103134155273e-06
1.0,0.95,900.0,0.025,20.0,0.7,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05772560514018959,710,16,1.4156103134155273e-06
1.0,0.95,900.0,0.025,20.0,0.7,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05828828860693222,710,51,1.4156103134155273e-06
1.0,0.95,900.0,0.025,20.0,1.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05772560514018959,710,9,1.4156103134155273e-06
1.0,0.95,900.0,0.025,20.0,1.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,13.791369022809526,0.05828828860693222,710,23,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,10.0,0.7,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05772560514018959,271,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,10.0,0.7,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05828828860693222,464,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,10.0,1.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05772560514018959,87,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,10.0,1.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05828828860693222,240,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,15.0,0.7,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05772560514018959,574,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,15.0,0.7,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05828828860693222,705,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,15.0,1.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05772560514018959,447,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,15.0,1.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05828828860693222,620,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,20.0,0.7,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05772560514018959,563,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,20.0,0.7,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05828828860693222,702,1,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,20.0,1.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05772560514018959,434,0,1.4156103134155273e-06
1.0,0.95,1500.0,0.025,20.0,1.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,22.98561503801588,0.05828828860693222,612,0,1.4156103134155273e-06
1.0,0.95,2400.0,0.025,10.0,0.7,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,36.776984060825406,0.05772560514018959,0,0,1.4156103134155273e-06
1.0,0.95,2400.0,0.025,10.0,0.7,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,36.776984060825406,0.05828828860693222,6,0,1.4156103134155273e-06
1.0,0.95,2400.0,0.025,10.0,1.0,False,none,710,3.2940671124477854,3.323991566088624,0.13186723955380633,36.776984060825406,0.05772560514018959,0,0,1.4156103134155273e-06
1.0,0.95,2400.0,0.025,10.0,1.0,False,combined,710,3.2940671124477854,3.323991566088624,0.13186723955380633,36.776984060825406,0.05828828860693222,0,0,1.4156103134155273e-06
