learning_multiple,records_reaching_6p5,share_reaching_6p5
8.3,6,0.008450704225352112
8.4,6,0.008450704225352112
8.5,6,0.008450704225352112
8.6,6,0.008450704225352112
8.7,6,0.008450704225352112
8.8,6,0.008450704225352112
8.9,6,0.008450704225352112
9.0,6,0.008450704225352112
9.1,6,0.008450704225352112
9.2,6,0.008450704225352112
9.3,6,0.008450704225352112
9.4,6,0.008450704225352112
9.5,6,0.008450704225352112
9.6,6,0.008450704225352112
9.7,6,0.008450704225352112
9.8,6,0.008450704225352112
9.9,6,0.008450704225352112
10.0,6,0.008450704225352112
10.1,6,0.008450704225352112
10.2,6,0.008450704225352112
10.3,6,0.008450704225352112
10.4,6,0.008450704225352112
10.5,6,0.008450704225352112
10.6,6,0.008450704225352112
10.7,6,0.008450704225352112
10.8,6,0.008450704225352112
10.9,6,0.008450704225352112
11.0,6,0.008450704225352112
11.1,6,0.008450704225352112
11.2,6,0.008450704225352112
11.3,6,0.008450704225352112
11.4,6,0.008450704225352112
11.5,6,0.008450704225352112
11.6,6,0.008450704225352112
11.7,6,0.008450704225352112
11.8,6,0.008450704225352112
11.9,6,0.008450704225352112
12.0,6,0.008450704225352112
12.1,6,0.008450704225352112
12.2,6,0.008450704225352112
12.3,6,0.008450704225352112
12.4,6,0.008450704225352112
12.5,6,0.008450704225352112
12.6,6,0.008450704225352112
12.7,6,0.008450704225352112
12.8,6,0.008450704225352112
12.9,6,0.008450704225352112
13.0,6,0.008450704225352112
13.1,6,0.008450704225352112
13.2,6,0.008450704225352112
13.3,6,0.008450704225352112
13.4,6,0.008450704225352112
13.5,6,0.008450704225352112
13.6,6,0.008450704225352112
13.7,6,0.008450704225352112
13.8,6,0.008450704225352112
13.9,6,0.008450704225352112
14.0,6,0.008450704225352112
14.1,6,0.008450704225352112
14.2,6,0.008450704225352112
14.3,6,0.008450704225352112
14.4,6,0.008450704225352112
14.5,6,0.008450704225352112
14.6,6,0.008450704225352112
14.7,6,0.008450704225352112
14.8,6,0.008450704225352112
14.9,6,0.008450704225352112
15.0,6,0.008450704225352112
15.1,6,0.008450704225352112
15.2,6,0.008450704225352112
15.3,6,0.008450704225352112
15.4,6,0.008450704225352112
15.5,6,0.008450704225352112
15.6,6,0.008450704225352112
15.7,6,0.008450704225352112
15.8,6,0.008450704225352112
15.9,6,0.008450704225352112
16.0,6,0.008450704225352112
16.1,6,0.008450704225352112
16.2,6,0.008450704225352112
16.3,6,0.008450704225352112
16.4,6,0.008450704225352112
16.5,6,0.008450704225352112
16.6,6,0.008450704225352112
16.7,6,0.008450704225352112
16.8,6,0.008450704225352112
16.9,6,0.008450704225352112
17.0,6,0.008450704225352112
17.1,6,0.008450704225352112
17.2,6,0.008450704225352112
17.3,6,0.008450704225352112
17.4,6,0.008450704225352112
17.5,6,0.008450704225352112
17.6,6,0.008450704225352112
17.7,6,0.008450704225352112
17.8,6,0.008450704225352112
17.9,6,0.008450704225352112
18.0,6,0.008450704225352112
18.1,6,0.008450704225352112
18.2,6,0.008450704225352112
18.3,6,0.008450704225352112
18.4,6,0.008450704225352112
18.5,6,0.008450704225352112
18.6,6,0.008450704225352112
18.7,6,0.008450704225352112
18.8,6,0.008450704225352112
18.9,6,0.008450704225352112
19.0,6,0.008450704225352112
19.1,6,0.008450704225352112
19.2,6,0.008450704225352112
19.3,6,0.008450704225352112
19.4,6,0.008450704225352112
19.5,6,0.008450704225352112
19.6,6,0.008450704225352112
19.7,6,0.008450704225352112
19.8,6,0.008450704225352112
19.9,6,0.008450704225352112
20.0,6,0.008450704225352112
