learning_case,central_component_case,year,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,nonstack_equipment_share_of_installed_capex,bop_epc_share_of_installed_capex,stack_embodied_newbuild_capital_saving_share,nonstack_equipment_newbuild_capital_saving_share,bop_epc_newbuild_capital_saving_share,total_newbuild_capital_saving_share,incumbent_stack_embodied_share_of_newbuild_capital_saving
conservative,False,2060,0.7,0.35,0.24499999999999997,0.45499999999999996,0.30000000000000004,0.08574999999999998,0.15924999999999997,0.0445946052309237,0.2895946052309236,0.29610358221840033
conservative,False,2026,0.7,0.5,0.35,0.35,0.30000000000000004,0.0,0.0,0.0,0.0,
conservative,False,2027,0.7,0.5,0.35,0.35,0.30000000000000004,0.08038136388495229,0.08038136388495229,0.018378918221714526,0.1791416459916191,0.44870283199649075
conservative,False,2028,0.7,0.5,0.35,0.35,0.30000000000000004,0.09170494315972151,0.09170494315972151,0.0212914214654922,0.20470130778493523,0.4479939290669761
conservative,False,2029,0.7,0.5,0.35,0.35,0.30000000000000004,0.09972966979187128,0.09972966979187128,0.023414566540920428,0.22287390612466298,0.4474712698582497
conservative,False,2030,0.7,0.5,0.35,0.35,0.30000000000000004,0.10590345183910842,0.10590345183910842,0.025083386978574377,0.2368902906567912,0.4470569542782245
conservative,False,2031,0.7,0.5,0.35,0.35,0.30000000000000004,0.11293394584389457,0.11293394584389457,0.02702319368862342,0.2528910853764126,0.4465714782939045
conservative,False,2032,0.7,0.5,0.35,0.35,0.30000000000000004,0.11843877830643529,0.11843877830643529,0.02857270957427244,0.265450266187143,0.4461806725894774
conservative,False,2033,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.029861722155581222,0.2748617221555812,0.4456786453905021
conservative,False,2034,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.0309645745642849,0.27596457456428486,0.4438975553054694
conservative,False,2035,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.031927809439684346,0.2769278094396843,0.44235355144670235
conservative,False,2036,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.03278248913899791,0.2777824891389979,0.44099252036978814
conservative,False,2037,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.033550371527875836,0.2785503715278758,0.4397768322048023
conservative,False,2038,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.034247285740800035,0.2792472857408,0.4386792862642384
conservative,False,2039,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.03488510473237776,0.2798851047323777,0.43767959755176256
conservative,False,2040,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.035472960787962735,0.2804729607879627,0.4367622449445666
conservative,False,2041,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.03643621012643072,0.28143621012643066,0.43526737353721767
conservative,False,2042,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.03728925325089065,0.2822892532508906,0.4339520494998281
conservative,False,2043,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.03805448146759606,0.28305448146759604,0.4327788748118575
conservative,False,2044,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.03874810869129329,0.28374810869129324,0.4317209392689738
conservative,False,2045,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.03938225023563642,0.2843822502356364,0.4307582484437677
conservative,False,2046,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.039966195360303644,0.2849661953603036,0.429875550133637
conservative,False,2047,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04050722174862355,0.28550722174862353,0.4290609507168817
conservative,False,2048,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04101113645208988,0.28601113645208986,0.42830500070587335
conservative,False,2049,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04148264656929795,0.2864826465692979,0.4276000709535759
conservative,False,2050,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04192562014027941,0.2869256201402794,0.4269399154390922
conservative,False,2051,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04224107874348036,0.2872410787434803,0.4264710344908508
conservative,False,2052,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04254346818587284,0.2875434681858728,0.4260225446012009
conservative,False,2053,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04283381483219329,0.2878338148321933,0.42559280281719963
conservative,False,2054,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04311302919075199,0.28811302919075193,0.42518035489084394
conservative,False,2055,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.043381922685515155,0.2883819226855151,0.42478390760154583
conservative,False,2056,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04364122150237175,0.2886412215023717,0.4244023059575135
conservative,False,2057,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04389157810100834,0.2888915781010083,0.4240345142812332
conservative,False,2058,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.04413358084894724,0.2891335808489472,0.4236796004127863
conservative,False,2059,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.0443677621334633,0.28936776213346327,0.42333672243523823
conservative,False,2060,0.7,0.5,0.35,0.35,0.30000000000000004,0.12249999999999998,0.12249999999999998,0.0445946052309237,0.2895946052309237,0.4230051174548576
base,False,2026,0.5,0.2,0.1,0.4,0.5,0.0,0.0,0.0,0.0,
base,False,2027,0.5,0.2,0.1,0.4,0.5,0.03979717729914443,0.1591887091965777,0.08523889238853533,0.28422477888425746,0.1400200835950011
base,False,2028,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.09941652637300585,0.32441652637300583,0.13871056602172033
base,False,2029,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.10874621846861265,0.33374621846861263,0.1348329883900454
base,False,2030,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.11566665012648902,0.340666650126489,0.13209393987727172
base,False,2031,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.12511806609112414,0.3501180660911241,0.1285280719798332
base,False,2032,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.13202547152629818,0.35702547152629815,0.12604142726182307
base,False,2033,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.13744942872632931,0.3624494287263293,0.12415525155642514
base,False,2034,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.14190372596657924,0.3669037259665792,0.12264797769892091
base,False,2035,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.14567579530237512,0.3706757953023751,0.12139988790822367
base,False,2036,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.1489424461381953,0.3739424461381953,0.12033937432010504
base,False,2037,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.1518200584802583,0.3768200584802583,0.11942039439590385
base,False,2038,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.15438923494022572,0.3793892349402257,0.11861169441744948
base,False,2039,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.15670806045248098,0.38170806045248096,0.11789114420758236
base,False,2040,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.15881974886863182,0.3838197488686318,0.11724253411306863
base,False,2041,0.5,0.2,0.1,0.4,0.5,0.045,0.18,0.1612176300772517,0.3862176300772517,0.1165146189494225
