equipment_share_of_uninstalled_system,incumbent_operating_improvement_access_fraction,new_build_cost_pass_through_elasticity,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,npv_low_100m_cny,npv_6p5_100m_cny
0.7,0.5,0.0,28.0,710,710,0,17.97840587799547,-18.909883657718943
0.7,0.5,0.25,24.4351511454243,710,4,0,-25.342499305177178,-40.901764365222114
0.7,0.5,0.5,21.324164696418944,710,0,0,-63.56954505569414,-60.353931908467246
0.7,0.5,0.75,18.609256693104207,710,0,0,-97.1179443535544,-77.47140377630893
0.7,0.5,1.0,16.240000000000002,710,0,0,-129.33603483903866,-93.4336564962255
0.7,0.75,0.0,28.0,710,710,0,17.991411656367163,-18.90663853386947
0.7,0.75,0.25,24.4351511454243,710,4,0,-25.330028044565104,-40.89864865234262
0.7,0.75,0.5,21.324164696418944,710,0,0,-63.55754026016228,-60.35092913046673
0.7,0.75,0.75,18.609256693104207,710,0,0,-97.10634663462038,-77.46849955476691
0.7,0.75,1.0,16.240000000000002,710,0,0,-129.3239883204113,-93.43064413954964
0.7,1.0,0.0,28.0,710,710,3,18.00461626111904,-18.90334527734156
0.7,1.0,0.25,24.4351511454243,710,4,0,-25.3173833282892,-40.89549094863947
0.7,1.0,0.5,21.324164696418944,710,0,0,-63.54538414958405,-60.34788972154075
0.7,1.0,0.75,18.609256693104207,710,0,0,-97.09461692240191,-77.46556337979665
0.7,1.0,1.0,16.240000000000002,710,0,0,-129.31214773842268,-93.42768222719681
