resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year
curtailment_only,C839_P12,12.0,linear,combined,strict_marginal_vs_6p5,843,0,0,0,0,0,0.0,0.0,0.0,-77.02788213051186,-80.6544488032582,1.5205741160892579,164.22200453763983,0.05547768290077948
curtailment_only,C840_P22,22.0,linear,combined,all_low_return_admissions,1196,926,13,2,13,2,0.774247491638796,0.010869565217391304,0.0016722408026755853,93.82841437549325,-84.27334512977399,3.3950749331606302,366.6680927813481,0.1376583598830719
curtailment_only,C840_P22,22.0,linear,combined,strict_marginal_vs_6p5,829,559,0,0,0,0,0.6743063932448733,0.0,0.0,10.639319873977866,-51.54699444603048,1.4859627698480895,160.48397914359364,0.05531692489552394
curtailment_only,C840_P18,18.0,linear,combined,all_low_return_admissions,1196,425,2,0,2,0,0.35535117056856186,0.0016722408026755853,0.0,8.113116538314552,-113.34921209493538,3.3950749331606302,366.6680927813481,0.1376583598830719
curtailment_only,C840_P18,18.0,linear,combined,strict_marginal_vs_6p5,829,87,0,0,0,0,0.10494571773220748,0.0,0.0,-24.058287070514854,-63.37826942655642,1.4859627698480895,160.48397914359364,0.05531692489552394
curtailment_only,C840_P15,15.0,linear,combined,all_low_return_admissions,1196,189,0,0,0,0,0.15802675585284282,0.0,0.0,-56.57889064135542,-135.35383051320244,3.3950749331606302,366.6680927813481,0.1376583598830719
curtailment_only,C840_P15,15.0,linear,combined,strict_marginal_vs_6p5,829,0,0,0,0,0,0.0,0.0,0.0,-50.082412341459744,-72.25218875537178,1.4859627698480895,160.48397914359364,0.05531692489552394
curtailment_only,C840_P12,12.0,linear,combined,all_low_return_admissions,1196,13,0,0,0,0,0.010869565217391304,0.0,0.0,-122.1670447083404,-157.58142925826797,3.3950749331606302,366.6680927813481,0.1376583598830719
curtailment_only,C840_P12,12.0,linear,combined,strict_marginal_vs_6p5,829,0,0,0,0,0,0.0,0.0,0.0,-76.67745471156758,-81.24100176486658,1.4859627698480895,160.48397914359364,0.05531692489552394
curtailment_only,C841_P22,22.0,linear,combined,all_low_return_admissions,1280,999,123,15,123,15,0.78046875,0.09609375,0.01171875,109.80057061419048,-55.3416587448955,3.722991787772982,402.08311307948196,0.14789176461986284
curtailment_only,C841_P22,22.0,linear,combined,strict_marginal_vs_6p5,674,393,0,0,0,0,0.5830860534124629,0.0,0.0,0.39345503169548096,-32.05102617063407,1.1138338389928863,120.29405461123173,0.03899982623309766
curtailment_only,C841_P18,18.0,linear,combined,all_low_return_admissions,1280,528,13,6,13,6,0.4125,0.01015625,0.0046875,17.865425244509453,-86.5306692418948,3.722991787772982,402.08311307948196,0.14789176461986284
curtailment_only,C841_P18,18.0,linear,combined,strict_marginal_vs_6p5,674,30,0,0,0,0,0.04451038575667656,0.0,0.0,-23.974628610379305,-40.38619929864845,1.1138338389928863,120.29405461123173,0.03899982623309766
curtailment_only,C841_P15,15.0,linear,combined,all_low_return_admissions,1280,237,6,0,6,0,0.18515625,0.0046875,0.0,-51.4909950117798,-110.12014068120251,3.722991787772982,402.08311307948196,0.14789176461986284
curtailment_only,C841_P15,15.0,linear,combined,strict_marginal_vs_6p5,674,0,0,0,0,0,0.0,0.0,0.0,-42.259652060682015,-46.63973816116096,1.1138338389928863,120.29405461123173,0.03899982623309766
curtailment_only,C841_P12,12.0,linear,combined,all_low_return_admissions,1280,50,0,0,0,0,0.0390625,0.0,0.0,-122.24147392726896,-134.06232638275918,3.722991787772982,402.08311307948196,0.14789176461986284
curtailment_only,C841_P12,12.0,linear,combined,strict_marginal_vs_6p5,674,0,0,0,0,0,0.0,0.0,0.0,-61.35824290849958,-53.063613903351914,1.1138338389928863,120.29405461123173,0.03899982623309766
curtailment_only,C842_P22,22.0,linear,combined,all_low_return_admissions,1211,932,59,12,59,12,0.7696118909991743,0.04872006606110652,0.00990916597853014,95.73168514351904,-59.9136464230635,3.431380371517207,370.5890801238583,0.13880975154148492
curtailment_only,C842_P22,22.0,linear,combined,strict_marginal_vs_6p5,708,429,0,0,0,0,0.6059322033898306,0.0,0.0,3.007265196456511,-33.41234235230488,1.1295665148487901,121.99318360366934,0.0410922850241749
curtailment_only,C842_P18,18.0,linear,combined,all_low_return_admissions,1211,443,12,2,12,2,0.365813377374071,0.00990916597853014,0.0016515276630883566,9.216102951849987,-89.27800439600864,3.431380371517207,370.5890801238583,0.13880975154148492
curtailment_only,C842_P18,18.0,linear,combined,strict_marginal_vs_6p5,708,29,0,0,0,0,0.04096045197740113,0.0,0.0,-22.735940746234917,-42.19885869477336,1.1295665148487901,121.99318360366934,0.0410922850241749
curtailment_only,C842_P15,15.0,linear,combined,all_low_return_admissions,1211,190,2,0,2,0,0.1568951279933939,0.0016515276630883566,0.0,-56.05946919745722,-111.49043097458866,3.431380371517207,370.5890801238583,0.13880975154148492
curtailment_only,C842_P15,15.0,linear,combined,strict_marginal_vs_6p5,708,0,0,0,0,0,0.0,0.0,0.0,-42.04349406848163,-48.788852158281536,1.1295665148487901,121.99318360366934,0.0410922850241749
curtailment_only,C842_P12,12.0,linear,combined,all_low_return_admissions,1211,15,0,0,0,0,0.012386457473162676,0.0,0.0,-122.24299318766005,-133.91710449357942,3.431380371517207,370.5890801238583,0.13880975154148492
curtailment_only,C842_P12,12.0,linear,combined,strict_marginal_vs_6p5,708,0,0,0,0,0,0.0,0.0,0.0,-61.899690628222444,-55.4911284976153,1.1295665148487901,121.99318360366934,0.0410922850241749
curtailment_only,C843_P22,22.0,linear,combined,all_low_return_admissions,1111,881,20,3,20,3,0.7929792979297929,0.018001800180018002,0.0027002700270027003,83.35393110029206,-62.421171337944756,3.1348904809904115,338.5681719469644,0.12925913612234793
curtailment_only,C843_P22,22.0,linear,combined,strict_marginal_vs_6p5,706,476,0,0,0,0,0.6742209631728046,0.0,0.0,6.255283405951203,-35.63512371195525,1.1804218192524538,127.48555647926503,0.04461853499759307
curtailment_only,C843_P18,18.0,linear,combined,all_low_return_admissions,1111,333,2,0,2,0,0.29972997299729975,0.0018001800180018,0.0,2.5542504429876627,-89.8620128715102,3.1348904809904115,338.5681719469644,0.12925913612234793
curtailment_only,C843_P18,18.0,linear,combined,strict_marginal_vs_6p5,706,13,0,0,0,0,0.018413597733711047,0.0,0.0,-21.752868336978857,-45.17990972773773,1.1804218192524538,127.48555647926503,0.04461853499759307
curtailment_only,C843_P15,15.0,linear,combined,all_low_return_admissions,1111,152,0,0,0,0,0.13681368136813682,0.0,0.0,-58.29946337037176,-110.56676287752563,3.1348904809904115,338.5681719469644,0.12925913612234793
curtailment_only,C843_P15,15.0,linear,combined,strict_marginal_vs_6p5,706,0,0,0,0,0,0.0,0.0,0.0,-42.75898342614874,-52.33850039736586,1.1804218192524538,127.48555647926503,0.04461853499759307
curtailment_only,C843_P12,12.0,linear,combined,all_low_return_admissions,1111,15,0,0,0,0,0.013501350135013501,0.0,0.0,-119.74266898308302,-131.40977302942466,3.1348904809904115,338.5681719469644,0.12925913612234793
curtailment_only,C843_P12,12.0,linear,combined,strict_marginal_vs_6p5,706,0,0,0,0,0,0.0,0.0,0.0,-64.10768877440482,-59.564026047360535,1.1804218192524538,127.48555647926503,0.04461853499759307
curtailment_only,C844_P22,22.0,linear,combined,all_low_return_admissions,1263,995,176,58,176,58,0.7878068091844814,0.1393507521773555,0.04592240696753761,108.46293279956612,-42.15445028048138,3.651215332674414,394.3312559288367,0.145684062885348
curtailment_only,C844_P22,22.0,linear,combined,strict_marginal_vs_6p5,579,311,0,0,0,0,0.5371329879101899,0.0,0.0,-1.4894203964375639,-23.69186680803263,0.8934240669350934,96.48979922899008,0.031129900902398557
curtailment_only,C844_P18,18.0,linear,combined,all_low_return_admissions,1263,512,41,12,41,12,0.4053840063341251,0.03246239113222486,0.009501187648456057,17.773071521511913,-72.9319684893786,3.651215332674414,394.3312559288367,0.145684062885348
curtailment_only,C844_P18,18.0,linear,combined,strict_marginal_vs_6p5,579,4,0,0,0,0,0.0069084628670120895,0.0,0.0,-20.935915809351375,-30.344521710926575,0.8934240669350934,96.48979922899008,0.031129900902398557
curtailment_only,C844_P15,15.0,linear,combined,all_low_return_admissions,1263,234,12,2,12,2,0.18527315914489312,0.009501187648456057,0.001583531274742676,-50.61608368408548,-96.19663097924654,3.651215332674414,394.3312559288367,0.145684062885348
curtailment_only,C844_P15,15.0,linear,combined,strict_marginal_vs_6p5,579,0,0,0,0,0,0.0,0.0,0.0,-35.525207440118535,-35.33513693761268,0.8934240669350934,96.48979922899008,0.031129900902398557
curtailment_only,C844_P12,12.0,linear,combined,all_low_return_admissions,1263,49,2,0,2,0,0.038796516231195566,0.001583531274742676,0.0,-120.23783609531749,-119.76780708656948,3.651215332674414,394.3312559288367,0.145684062885348
curtailment_only,C844_P12,12.0,linear,combined,strict_marginal_vs_6p5,579,0,0,0,0,0,0.0,0.0,0.0,-50.77469849106123,-40.46408358430528,0.8934240669350934,96.48979922899008,0.031129900902398557
curtailment_only,C845_P22,22.0,linear,combined,all_low_return_admissions,1178,919,119,15,119,15,0.7801358234295416,0.10101867572156197,0.012733446519524618,92.1391243294559,-48.95598285208309,3.34074672700232,360.80064651625054,0.13592283822744958
curtailment_only,C845_P22,22.0,linear,combined,strict_marginal_vs_6p5,640,381,0,0,0,0,0.5953125,0.0,0.0,1.810328476130649,-26.392025914490496,0.9770416328828019,105.52049635134262,0.03570387025590469
curtailment_only,C845_P18,18.0,linear,combined,all_low_return_admissions,1178,415,13,2,13,2,0.3522920203735144,0.011035653650254669,0.001697792869269949,7.270227504395399,-77.77677268287604,3.34074672700232,360.80064651625054,0.13592283822744958
curtailment_only,C845_P18,18.0,linear,combined,strict_marginal_vs_6p5,640,7,0,0,0,0,0.0109375,0.0,0.0,-20.563794092835995,-34.026660599119495,0.9770416328828019,105.52049635134262,0.03570387025590469
curtailment_only,C845_P15,15.0,linear,combined,all_low_return_admissions,1178,174,2,0,2,0,0.14770797962648557,0.001697792869269949,0.0,-56.709218258179064,-99.55144949176292,3.34074672700232,360.80064651625054,0.13592283822744958
curtailment_only,C845_P15,15.0,linear,combined,strict_marginal_vs_6p5,640,0,0,0,0,0,0.0,0.0,0.0,-37.344412160934134,-39.752660009041264,0.9770416328828019,105.52049635134262,0.03570387025590469
curtailment_only,C845_P12,12.0,linear,combined,all_low_return_admissions,1178,15,0,0,0,0,0.012733446519524618,0.0,0.0,-121.452170328367,-121.49989530580662,3.34074672700232,360.80064651625054,0.13592283822744958
curtailment_only,C845_P12,12.0,linear,combined,strict_marginal_vs_6p5,640,0,0,0,0,0,0.0,0.0,0.0,-54.556857474813135,-45.56639928359642,0.9770416328828019,105.52049635134262,0.03570387025590469
curtailment_only,C846_P22,22.0,linear,combined,all_low_return_admissions,1095,863,34,11,34,11,0.7881278538812785,0.031050228310502283,0.01004566210045662,77.52767357955524,-54.02553400357769,3.044661665406613,328.82345986391425,0.12629491488135772
curtailment_only,C846_P22,22.0,linear,combined,strict_marginal_vs_6p5,674,442,0,0,0,0,0.655786350148368,0.0,0.0,3.944866643289432,-30.855069344613323,1.0904674626512525,117.77048596633524,0.04140141946355503
curtailment_only,C846_P18,18.0,linear,combined,all_low_return_admissions,1095,321,7,0,7,0,0.29315068493150687,0.006392694063926941,0.0,-1.5378763298069316,-80.892040962116,3.044661665406613,328.82345986391425,0.12629491488135772
curtailment_only,C846_P18,18.0,linear,combined,strict_marginal_vs_6p5,674,3,0,0,0,0,0.004451038575667656,0.0,0.0,-22.048370544719,-39.711944448097455,1.0904674626512525,117.77048596633524,0.04140141946355503
curtailment_only,C846_P15,15.0,linear,combined,all_low_return_admissions,1095,136,0,0,0,0,0.12420091324200913,0.0,0.0,-61.036613682467994,-101.13910066259825,3.044661665406613,328.82345986391425,0.12629491488135772
curtailment_only,C846_P15,15.0,linear,combined,strict_marginal_vs_6p5,674,0,0,0,0,0,0.0,0.0,0.0,-41.543298435725326,-46.354600775710544,1.0904674626512525,117.77048596633524,0.04140141946355503
curtailment_only,C846_P12,12.0,linear,combined,all_low_return_admissions,1095,15,0,0,0,0,0.0136986301369863,0.0,0.0,-121.04337329273035,-121.50205006874504,3.044661665406613,328.82345986391425,0.12629491488135772
curtailment_only,C846_P12,12.0,linear,combined,strict_marginal_vs_6p5,674,0,0,0,0,0,0.0,0.0,0.0,-61.32952392837764,-53.05361491127755,1.0904674626512525,117.77048596633524,0.04140141946355503
curtailment_only,C847_P22,22.0,linear,combined,all_low_return_admissions,1426,1085,48,6,48,6,0.7608695652173914,0.033660589060308554,0.004207573632538569,170.59174932726606,-125.0576975034314,5.834330224414506,630.1076642367667,0.22989329717225118
curtailment_only,C847_P22,22.0,linear,combined,strict_marginal_vs_6p5,867,526,0,0,0,0,0.6066897347174164,0.0,0.0,5.4444503187890945,-70.19455069533473,2.0570840323600126,222.16507549488136,0.07216341025261447
curtailment_only,C847_P18,18.0,linear,combined,all_low_return_admissions,1426,508,8,0,8,0,0.35624123422159887,0.005610098176718092,0.0,28.14352180960497,-173.32753839911072,5.834330224414506,630.1076642367667,0.22989329717225118
curtailment_only,C847_P18,18.0,linear,combined,strict_marginal_vs_6p5,867,17,0,0,0,0,0.0196078431372549,0.0,0.0,-39.650456055405904,-85.61801322034705,2.0570840323600126,222.16507549488136,0.07216341025261447
curtailment_only,C847_P15,15.0,linear,combined,all_low_return_admissions,1426,266,2,0,2,0,0.18653576437587657,0.001402524544179523,0.0,-79.50187095101678,-209.92362747471313,5.834330224414506,630.1076642367667,0.22989329717225118
curtailment_only,C847_P15,15.0,linear,combined,strict_marginal_vs_6p5,867,0,0,0,0,0,0.0,0.0,0.0,-73.49526148500614,-97.19103017072071,2.0570840323600126,222.16507549488136,0.07216341025261447
curtailment_only,C847_P12,12.0,linear,combined,all_low_return_admissions,1426,57,0,0,0,0,0.03997194950911641,0.0,0.0,-189.46645398321175,-247.0991340701965,5.834330224414506,630.1076642367667,0.22989329717225118
curtailment_only,C847_P12,12.0,linear,combined,strict_marginal_vs_6p5,867,0,0,0,0,0,0.0,0.0,0.0,-108.78997849274597,-109.06654592968891,2.0570840323600126,222.16507549488136,0.07216341025261447
curtailment_only,C848_P22,22.0,linear,combined,all_low_return_admissions,1364,1042,15,2,15,2,0.7639296187683284,0.010997067448680353,0.001466275659824047,158.11758927218654,-122.30957332062671,5.389574585424585,582.0740552258551,0.21622093766929001
curtailment_only,C848_P22,22.0,linear,combined,strict_marginal_vs_6p5,879,557,0,0,0,0,0.6336746302616609,0.0,0.0,11.415224429114218,-69.5203161789244,2.0402485640330803,220.34684491557266,0.07398403877715014
curtailment_only,C848_P18,18.0,linear,combined,all_low_return_admissions,1364,480,2,0,2,0,0.3519061583577713,0.001466275659824047,0.0,23.775080160415154,-167.85355269788704,5.389574585424585,582.0740552258551,0.21622093766929001
