scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main
C168,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.7,0.045,False
C169,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.8,0.025,False
C170,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.8,0.035,False
C171,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.5,0.8,0.045,False
C172,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.5,0.025,False
C173,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.5,0.035,False
C174,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.5,0.045,False
C175,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.7,0.025,False
C176,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.7,0.035,False
C177,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.7,0.045,False
C178,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.8,0.025,False
C179,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.8,0.035,False
C180,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,0.75,0.8,0.045,False
C181,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.5,0.025,False
C182,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.5,0.035,False
C183,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.5,0.045,False
C184,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.7,0.025,False
C185,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.7,0.035,False
C186,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.7,0.045,False
C187,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.8,0.025,False
C188,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.8,0.035,False
C189,curtailment_only,3600.0,0.1,WB_allin_2pct,0.02,0.0,1.0,0.8,0.045,False
C190,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.5,0.025,False
C191,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.5,0.035,False
C192,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.5,0.045,False
C193,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.7,0.025,False
C194,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.7,0.035,False
C195,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.7,0.045,False
C196,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.8,0.025,False
C197,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.8,0.035,False
C198,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.5,0.8,0.045,False
C199,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.5,0.025,False
C200,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.5,0.035,False
C201,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.5,0.045,False
C202,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.7,0.025,False
C203,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.7,0.035,False
C204,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.7,0.045,False
C205,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.8,0.025,False
C206,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.8,0.035,False
C207,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,0.75,0.8,0.045,False
C208,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.5,0.025,False
C209,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.5,0.035,False
C210,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.5,0.045,False
C211,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.7,0.025,False
C212,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.7,0.035,False
C213,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.7,0.045,False
C214,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.8,0.025,False
C215,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.8,0.035,False
C216,curtailment_only,3600.0,0.1,WB_allin_3pct,0.03,0.0,1.0,0.8,0.045,False
C217,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.025,False
C218,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.035,False
C219,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.5,0.045,False
C220,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.025,False
C221,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.035,False
C222,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.7,0.045,False
C223,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.025,False
C224,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.035,False
C225,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.5,0.8,0.045,False
C226,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.025,False
C227,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.035,False
C228,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.5,0.045,False
C229,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.025,False
C230,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.035,False
C231,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.7,0.045,False
C232,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.025,False
C233,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.035,False
C234,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,0.75,0.8,0.045,False
C235,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.025,False
C236,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.035,False
C237,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.5,0.045,False
C238,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.025,False
C239,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.035,False
C240,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.7,0.045,False
C241,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.025,False
C242,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.035,False
C243,curtailment_only,3600.0,0.1,DOE_explicit_5pct_plus_11pct,0.05,0.11,1.0,0.8,0.045,False
C244,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.5,0.025,False
C245,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.5,0.035,False
C246,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.5,0.045,False
C247,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.7,0.025,False
C248,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.7,0.035,False
C249,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.7,0.045,False
C250,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.8,0.025,False
C251,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.8,0.035,False
C252,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.5,0.8,0.045,False
C253,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.75,0.5,0.025,False
C254,curtailment_only,3600.0,0.2,WB_allin_2pct,0.02,0.0,0.75,0.5,0.035,False
