resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year
curtailment_only,curtailment_only_P18_linear_life_only,18.0,linear,life_only,all_low_return_admissions,1889,648,193,111,193,111,0.34303864478560087,0.10217046056114346,0.058761249338274216,17.946257606131983,-119.45607209814754,9.62351524830129,692.893097877693,0.3520031783745592
curtailment_only,curtailment_only_P18_linear_life_only,18.0,linear,life_only,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-67.94731547140881,-61.40593969712175,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P18_linear_stack_cost_only,18.0,linear,stack_cost_only,all_low_return_admissions,1889,754,231,142,231,142,0.39915299100052937,0.12228692429857067,0.07517204870301747,47.40011146728535,-111.06545748676872,9.62351524830129,692.893097877693,0.3520031783745592
curtailment_only,curtailment_only_P18_linear_stack_cost_only,18.0,linear,stack_cost_only,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-63.071754380073244,-60.435453648620985,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P18_linear_combined,18.0,linear,combined,all_low_return_admissions,1889,905,270,181,270,181,0.47908946532556906,0.142932768660667,0.09581789306511382,94.72292448682198,-99.98772586967154,9.62351524830129,692.893097877693,0.3600852211304861
curtailment_only,curtailment_only_P18_linear_combined,18.0,linear,combined,strict_marginal_vs_6p5,741,0,0,0,0,0,0.0,0.0,0.0,-61.68065685049486,-60.168422815292644,1.996362631393401,143.7381094603249,0.05966946211001487
curtailment_only,curtailment_only_P18_back_loaded_none,18.0,back_loaded,none,all_low_return_admissions,1889,1095,359,286,359,286,0.5796717840127051,0.19004764425622023,0.1514028586553732,187.3346613968177,-42.10721514897131,9.62351524830129,692.893097877693,0.3520031783745592
curtailment_only,curtailment_only_P18_back_loaded_none,18.0,back_loaded,none,strict_marginal_vs_6p5,741,16,0,0,0,0,0.021592442645074223,0.0,0.0,-37.19963883585441,-47.23048179789923,1.996362631393401,143.7381094603249,0.05942821624515723
curtailment_only,curtailment_only_P18_back_loaded_energy_only,18.0,back_loaded,energy_only,all_low_return_admissions,1889,1161,442,304,442,304,0.6146109052408681,0.2339862361037586,0.16093170989941769,237.46863479949997,-30.319806412122855,9.62351524830129,692.893097877693,0.3600852211304861
curtailment_only,curtailment_only_P18_back_loaded_energy_only,18.0,back_loaded,energy_only,strict_marginal_vs_6p5,741,43,0,0,0,0,0.058029689608636977,0.0,0.0,-35.66661304836188,-46.93686599465835,1.996362631393401,143.7381094603249,0.05966946211001487
