resource_branch,terminal_h2_price,merge_province_cn,strict_marginal_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,npv_low_100m_cny,npv_colocated_6p5_100m_cny,retain_low_return_share,reach_colocated_6p5_share
full_output_upper_bound,18.0,甘肃,1,0,0,0,-0.0308500835548411,-0.0309395959616524,0.0,0.0
full_output_upper_bound,18.0,福建,10,0,0,0,-3.075185220509612,-1.354723697595986,0.0,0.0
full_output_upper_bound,18.0,贵州,137,0,0,0,-16.41309401378607,-8.71490882162283,0.0,0.0
full_output_upper_bound,18.0,辽宁,10,0,0,0,-1.723436395751217,-0.9698289898791478,0.0,0.0
full_output_upper_bound,18.0,重庆,1,0,0,0,-0.1945565180891384,-0.0875408835592463,0.0,0.0
full_output_upper_bound,18.0,陕西,7,0,0,0,-0.3604423057776408,-0.2747484783153192,0.0,0.0
full_output_upper_bound,22.0,云南,6,1,0,0,-0.0658469829237987,-0.15730715739433632,0.16666666666666666,0.0
full_output_upper_bound,22.0,内蒙古,2,2,0,0,0.0162725367148861,-0.0310367752472094,1.0,0.0
full_output_upper_bound,22.0,吉林,20,0,0,0,-0.3393744001130918,-0.592436150500872,0.0,0.0
full_output_upper_bound,22.0,四川,38,8,0,0,-0.7287544441636509,-1.1878174680785365,0.21052631578947367,0.0
full_output_upper_bound,22.0,天津,21,0,0,0,-1.7038004009142156,-1.4750440031502448,0.0,0.0
full_output_upper_bound,22.0,宁夏,2,0,0,0,-0.023902649557264,-0.057821143321598795,0.0,0.0
full_output_upper_bound,22.0,安徽,17,0,0,0,-1.109628618094904,-0.7620123346738835,0.0,0.0
full_output_upper_bound,22.0,山东,117,0,0,0,-2.63791673722602,-3.7677095530126845,0.0,0.0
full_output_upper_bound,22.0,山西,6,2,0,0,-0.0279253509507097,-0.1443311315497914,0.3333333333333333,0.0
full_output_upper_bound,22.0,广东,31,0,0,0,-1.7264320748472395,-1.2552161009470872,0.0,0.0
full_output_upper_bound,22.0,广西,64,2,0,0,-1.7324126947204062,-2.249913418403086,0.03125,0.0
full_output_upper_bound,22.0,新疆,1,0,0,0,-0.0070218058520998,-0.0238704963279842,0.0,0.0
full_output_upper_bound,22.0,江苏,1,0,0,0,-0.0042998839109474,-0.0212986306012413,0.0,0.0
full_output_upper_bound,22.0,江西,24,0,0,0,-1.4003792660968548,-1.0236641139005764,0.0,0.0
full_output_upper_bound,22.0,河北,69,26,0,0,-0.33469290149593073,-1.7081308229494943,0.37681159420289856,0.0
full_output_upper_bound,22.0,河南,59,1,0,0,-1.2685006698389882,-1.78179970714774,0.01694915254237288,0.0
full_output_upper_bound,22.0,海南,1,0,0,0,-0.0514882829572804,-0.0389199666508607,0.0,0.0
full_output_upper_bound,22.0,湖北,92,0,0,0,-3.0145001287476583,-3.3631176409416557,0.0,0.0
full_output_upper_bound,22.0,湖南,23,0,0,0,-0.7869356289057645,-0.7923856114416654,0.0,0.0
full_output_upper_bound,22.0,甘肃,1,1,0,0,0.0027096615394702,-0.0195215691559883,1.0,0.0
full_output_upper_bound,22.0,福建,10,0,0,0,-1.0986088209448261,-0.7045163978587037,0.0,0.0
full_output_upper_bound,22.0,贵州,137,7,0,0,-3.7277937703985238,-4.550588288850491,0.051094890510948905,0.0
full_output_upper_bound,22.0,辽宁,10,0,0,0,-0.4349173409866214,-0.5464927711364821,0.0,0.0
full_output_upper_bound,22.0,重庆,1,0,0,0,-0.0477078376982572,-0.0393305365607116,0.0,0.0
full_output_upper_bound,22.0,陕西,7,5,0,0,-0.010975125332714901,-0.1573882126945441,0.7142857142857143,0.0
